name,type,url,address,public_or_private
Bantry Injury Unit,Injury Unit,https://www2.hse.ie/services/find-urgent-emergency-care/bantry-local-injury-unit/,"Bantry General Hospital, Carrignagat, Bantry, Cork, P75 DX93",Public
Beaumont Hospital Emergency Department,Emergency Department,https://www2.hse.ie/services/find-urgent-emergency-care/beaumont-hospital-emergency-department/,"Beaumont Hospital, Beaumont Road, Beaumont, Dublin 9, Dublin, D09 C562",Public
Caredoc Arklow,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-arklow/,"Arklow Primary Care Centre, Castlepark, Arklow, Wicklow, Y14 AE10",Public
Caredoc Carlow,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-carlow/,,Public
Caredoc Cashel,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-cashel/,,Public
Caredoc Clonmel,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-clonmel/,,Public
Caredoc Dungarvan,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-dungarvan/,,Public
Caredoc Enniscorthy,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-enniscorthy/,,Public
Caredoc Gorey,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-gorey/,,Public
Caredoc Kilkenny,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-kilkenny/,,Public
Caredoc New Ross,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-new-ross/,,Public
Caredoc Sligo,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-sligo/,,Public
Caredoc Tipperary Town,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-tipperary-town/,,Public
Caredoc Waterford,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-waterford/,,Public
Caredoc Wexford,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-wexford/,,Public
Caredoc Wicklow,GP Out of Hours,https://www2.hse.ie/services/find-urgent-emergency-care/caredoc-wicklow/,,Public
Cashel Injury Unit,Injury Unit,https://www2.hse.ie/services/find-urgent-emergency-care/cashel-injury-unit/,"Our Lady's Campus, Lower Green, Cashel, Tipperary, E25 P407",Public
Cavan General Hospital Emergency Department,Emergency Department,https://www2.hse.ie/services/find-urgent-emergency-care/cavan-general-hospital-emergency-department/,"Cavan Monaghan General Hospital, Lisdarn, Cavan Town, Cavan, H12 Y7W1",Public
Cavan Monaghan Hospital Early Pregnancy Assessment Unit,Early Pregnancy Assessment Unit,https://www2.hse.ie/services/find-urgent-emergency-care/cavan-monaghan-hospital-early-pregnancy-assessment-unit/,,Public
Cavan Monaghan Maternity Emergency Service,Maternity Emergency Service,https://www2.hse.ie/services/find-urgent-emergency-care/cavan-monaghan-maternity-emergency-service/,,Public
