,Date,Region,Value
0,2023-01-01,HSE Dublin and Midlands,0.9001159015217526
1,2023-01-01,HSE Dublin and North East,0.6823454487558569
2,2023-01-01,HSE Dublin and South East,0.6590511928311705
3,2023-01-01,HSE Mid West,1.162061594106411
4,2023-01-01,HSE South West,1.0666825093773544
5,2023-01-01,HSE West and North West,1.2769004754808781
6,2023-01-02,HSE Dublin and Midlands,1.0207499914164204
7,2023-01-02,HSE Dublin and North East,0.9519140211038496
8,2023-01-02,HSE Dublin and South East,1.0091721390227302
9,2023-01-02,HSE Mid West,1.7430923911596163
10,2023-01-02,HSE South West,1.215207922075467
11,2023-01-02,HSE West and North West,1.8561130622969464
12,2023-01-03,HSE Dublin and Midlands,1.4568886241125274
13,2023-01-03,HSE Dublin and North East,1.2636026828812164
14,2023-01-03,HSE Dublin and South East,1.3901861098782506
15,2023-01-03,HSE Mid West,1.8399308573351507
16,2023-01-03,HSE South West,1.660784160169805
17,2023-01-03,HSE West and North West,2.1457193557049807
18,2023-01-04,HSE Dublin and Midlands,1.280577261958782
19,2023-01-04,HSE Dublin and North East,1.0361541999625974
20,2023-01-04,HSE Dublin and South East,1.1224465627905875
21,2023-01-04,HSE Mid West,1.0410135113869932
22,2023-01-04,HSE South West,1.215207922075467
23,2023-01-04,HSE West and North West,1.8692769847245843
24,2023-01-05,HSE Dublin and Midlands,1.0485886275459593
25,2023-01-05,HSE Dublin and North East,0.6318013414406082
26,2023-01-05,HSE Dublin and South East,0.7002418923831187
27,2023-01-05,HSE Mid West,0.8957558121236917
28,2023-01-05,HSE South West,0.9721663376603737
29,2023-01-05,HSE West and North West,1.7113099155929294
30,2023-01-06,HSE Dublin and Midlands,0.8351590838861622
31,2023-01-06,HSE Dublin and North East,0.6318013414406082
32,2023-01-06,HSE Dublin and South East,0.6590511928311706
33,2023-01-06,HSE Mid West,0.8231269624920411
34,2023-01-06,HSE South West,0.9181570966792418
35,2023-01-06,HSE West and North West,1.1715890960597748
36,2023-01-07,HSE Dublin and Midlands,0.6310090856028782
37,2023-01-07,HSE Dublin and North East,0.18532839348924507
38,2023-01-07,HSE Dublin and South East,0.4325023452954557
39,2023-01-07,HSE Mid West,0.2420961654388356
40,2023-01-07,HSE South West,0.7291247532452803
41,2023-01-07,HSE West and North West,0.9478024147899302
42,2023-01-08,HSE Dublin and Midlands,0.5846113587203136
43,2023-01-08,HSE Dublin and North East,0.25272053657624327
44,2023-01-08,HSE Dublin and South East,0.7002418923831188
45,2023-01-08,HSE Mid West,0.3389346316143699
46,2023-01-08,HSE South West,0.43207392784905496
47,2023-01-08,HSE West and North West,0.8293271129411889
48,2023-01-09,HSE Dublin and Midlands,0.6866863578619556
49,2023-01-09,HSE Dublin and North East,0.5896812520112342
50,2023-01-09,HSE Dublin and South East,0.8856000403668856
51,2023-01-09,HSE Mid West,0.7262884963165069
52,2023-01-09,HSE South West,0.5670970303018846
53,2023-01-09,HSE West and North West,1.0531137942110336
54,2023-01-10,HSE Dublin and Midlands,0.7238045393680073
55,2023-01-10,HSE Dublin and North East,0.8171297349298532
56,2023-01-10,HSE Dublin and South East,0.8753023654788985
57,2023-01-10,HSE Mid West,0.6294500301409726
58,2023-01-10,HSE South West,0.8911524761886759
59,2023-01-10,HSE West and North West,0.8293271129411889
60,2023-01-11,HSE Dublin and Midlands,0.9743522645338559
61,2023-01-11,HSE Dublin and North East,0.5728332162394847
62,2023-01-11,HSE Dublin and South East,0.8650046905909115
63,2023-01-11,HSE Mid West,0.6294500301409726
64,2023-01-11,HSE South West,0.810138614716978
65,2023-01-11,HSE West and North West,0.8161631905135509
66,2023-01-12,HSE Dublin and Midlands,0.9743522645338559
67,2023-01-12,HSE Dublin and North East,0.6065292877829839
68,2023-01-12,HSE Dublin and South East,0.5457767690633132
69,2023-01-12,HSE Mid West,0.6536596466848562
70,2023-01-12,HSE South West,0.877650165943393
71,2023-01-12,HSE West and North West,0.7635075008029992
72,2023-01-13,HSE Dublin and Midlands,0.9372340830278043
73,2023-01-13,HSE Dublin and North East,0.3790808048643649
74,2023-01-13,HSE Dublin and South East,0.5663721188392873
75,2023-01-13,HSE Mid West,0.3147250150704863
76,2023-01-13,HSE South West,0.7966363044716951
77,2023-01-13,HSE West and North West,0.8293271129411889
