Date,Region,Value
2023-01-01,HSE Dublin and Midlands,2.8482556675749318
2023-01-01,HSE Dublin and North East,2.832213313696613
2023-01-01,HSE Dublin and South East,2.337343061301241
2023-01-01,HSE Mid West,1.677396954314721
2023-01-01,HSE South West,2.922502797202797
2023-01-01,HSE West and North West,2.9333695859872613
2023-01-02,HSE Dublin and Midlands,3.2299806539509537
2023-01-02,HSE Dublin and North East,3.9511124005891016
2023-01-02,HSE Dublin and South East,3.5790565626175255
2023-01-02,HSE Mid West,2.5160954314720816
2023-01-02,HSE South West,3.3294335664335666
2023-01-02,HSE West and North West,4.263970222929936
2023-01-03,HSE Dublin and Midlands,4.610063297002725
2023-01-03,HSE Dublin and North East,5.244839469808542
2023-01-03,HSE Dublin and South East,4.930333019932306
2023-01-03,HSE Mid West,2.655878510998308
2023-01-03,HSE South West,4.550225874125874
2023-01-03,HSE West and North West,4.929270541401274
2023-01-04,HSE Dublin and Midlands,4.052157547683924
2023-01-04,HSE Dublin and North East,4.300768365243004
2023-01-04,HSE Dublin and South East,3.9807874012786764
2023-01-04,HSE Mid West,1.5026681049069375
2023-01-04,HSE South West,3.3294335664335666
2023-01-04,HSE West and North West,4.294211146496815
2023-01-05,HSE Dublin and Midlands,3.3180710354223435
2023-01-05,HSE Dublin and North East,2.622419734904271
2023-01-05,HSE Dublin and South East,2.4834270026325687
2023-01-05,HSE Mid West,1.2929934856175973
2023-01-05,HSE South West,2.663546853146853
2023-01-05,HSE West and North West,3.9313200636942676
2023-01-06,HSE Dublin and Midlands,2.6427114441416895
2023-01-06,HSE Dublin and North East,2.622419734904271
2023-01-06,HSE Dublin and South East,2.337343061301241
2023-01-06,HSE Mid West,1.1881561759729273
2023-01-06,HSE South West,2.515572027972028
2023-01-06,HSE West and North West,2.6914421974522296
2023-01-07,HSE Dublin and Midlands,1.9967153133514985
2023-01-07,HSE Dublin and North East,0.7692431222385862
2023-01-07,HSE Dublin and South East,1.5338813839789396
2023-01-07,HSE Mid West,0.3494576988155669
2023-01-07,HSE South West,1.9976601398601397
2023-01-07,HSE West and North West,2.1773464968152867
2023-01-08,HSE Dublin and Midlands,1.8498980108991825
2023-01-08,HSE Dublin and North East,1.0489678939617084
2023-01-08,HSE Dublin and South East,2.4834270026325687
2023-01-08,HSE Mid West,0.4892407783417936
2023-01-08,HSE South West,1.1837986013986013
2023-01-08,HSE West and North West,1.9051781847133757
2023-01-09,HSE Dublin and Midlands,2.172896076294278
2023-01-09,HSE Dublin and North East,2.4475917525773196
2023-01-09,HSE Dublin and South East,3.140804738623543
2023-01-09,HSE Mid West,1.0483730964467006
2023-01-09,HSE South West,1.5537356643356643
