Region,Date,Value
HSE Dublin and Midlands,2023-01-01,2.8482556675749318
HSE Dublin and Midlands,2023-01-08,21.699597302452318
HSE Dublin and Midlands,2023-01-15,17.471258991825614
HSE Dublin and Midlands,2023-01-22,16.737172479564034
HSE Dublin and Midlands,2023-01-29,13.360374523160765
HSE Dublin and Midlands,2023-02-05,14.211914877384196
HSE Dublin and Midlands,2023-02-12,16.61971863760218
HSE Dublin and Midlands,2023-02-19,17.82362051771117
HSE Dublin and Midlands,2023-02-26,19.52670122615804
HSE Dublin and Midlands,2023-03-05,17.647439754768392
HSE Dublin and Midlands,2023-03-12,24.048674141689375
HSE Dublin and Midlands,2023-03-19,20.29015119891008
HSE Dublin and Midlands,2023-03-26,22.140049209809266
HSE Dublin and Midlands,2023-04-02,21.053601171662127
HSE Dublin and Midlands,2023-04-09,14.388095640326977
HSE Dublin and Midlands,2023-04-16,16.50226479564033
HSE Dublin and Midlands,2023-04-23,18.117255122615806
HSE Dublin and Midlands,2023-04-30,18.205345504087195
HSE Dublin and Midlands,2023-05-07,21.317872316076294
HSE Dublin and Midlands,2023-05-14,23.432041471389645
HSE Dublin and Midlands,2023-05-21,15.268999455040872
HSE Dublin and Midlands,2023-05-28,14.681730245231607
HSE Dublin and Midlands,2023-06-04,13.272284141689374
HSE Dublin and Midlands,2023-06-11,10.247847711171662
HSE Dublin and Midlands,2023-06-18,14.182551416893734
HSE Dublin and Midlands,2023-06-25,14.623003324250682
HSE Dublin and Midlands,2023-07-02,16.414174414168937
HSE Dublin and Midlands,2023-07-09,16.23799365122616
HSE Dublin and Midlands,2023-07-16,14.799184087193462
HSE Dublin and Midlands,2023-07-23,7.781317029972752
HSE Dublin and Midlands,2023-07-30,8.603493923705722
HSE Dublin and Midlands,2023-08-06,8.691584305177113
HSE Dublin and Midlands,2023-08-13,8.926491989100818
HSE Dublin and Midlands,2023-08-20,13.272284141689372
HSE Dublin and Midlands,2023-08-27,11.363659209809263
HSE Dublin and Midlands,2023-09-03,12.15647264305177
HSE Dublin and Midlands,2023-09-10,14.857911008174387
HSE Dublin and Midlands,2023-09-17,14.50554948228883
HSE Dublin and Midlands,2023-09-24,14.035734114441416
HSE Dublin and Midlands,2023-10-01,17.823620517711174
HSE Dublin and Midlands,2023-10-08,17.44189553133515
HSE Dublin and Midlands,2023-10-15,18.05852820163488
HSE Dublin and Midlands,2023-10-22,14.211914877384196
HSE Dublin and Midlands,2023-10-29,16.032449427792915
HSE Dublin and Midlands,2023-11-05,19.027522397820164
HSE Dublin and Midlands,2023-11-12,21.171055013623977
HSE Dublin and Midlands,2023-11-19,18.70452433242507
HSE Dublin and Midlands,2023-11-26,14.388095640326975
HSE Dublin and Midlands,2023-12-03,13.947643732970029
HSE Dublin and Midlands,2023-12-10,20.9948742506812
