"Point est.","Upper C.I.","parameter"
1.00006876195448,1.00019774581644,"alpha[1]"
0.99999389430965,1.00003076297275,"alpha[2]"
1.00001764269532,1.00009846205078,"alpha[3]"
1.00001666220597,1.00009300379112,"alpha[4]"
1.00003774628114,1.00013272128442,"alpha[5]"
1.00003343215067,1.0001657603668,"alpha[6]"
0.999994441678216,1.00002622442824,"beta[1]"
0.999996805926174,1.00004102413186,"beta[2]"
1.00004639801515,1.0001775026168,"beta[3]"
1.00004629232768,1.00017735176931,"beta[4]"
1.000081052741,1.00016956857444,"beta[5]"
1.00005794828601,1.00022111420436,"beta[6]"
1.00009070391824,1.00024489226064,"gamma[1]"
1.00002542963389,1.00007637117484,"gamma[2]"
1.00007204499317,1.0001219173278,"gamma[3]"
1.00003613415754,1.00015050388441,"gamma[4]"
0.99997975440995,0.999996970461276,"gamma[5]"
1.00000952660535,1.0000618797464,"gamma[6]"
1.00019199252323,1.00062092382487,"phi"
0.999982992491443,1.00000579944252,"tau[1]"
0.99997756105326,0.999988015457752,"tau[2]"
1.00020243218569,1.00066766167071,"tau[3]"
1.00008478207145,1.00032123381075,"tau[4]"
1.00002312074546,1.00011093683364,"tau[5]"
1.00000888423404,1.0000842546699,"tau[6]"
