Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,1.6453,0.9756,2.2959,Yes
HSE Dublin and Midlands,HSE Dublin and South East,0.9533,0.2825,1.6406,Yes
HSE Dublin and Midlands,HSE Mid West,-4.1436,-5.1824,-3.0868,Yes
HSE Dublin and Midlands,HSE South West,-0.4479,-1.3216,0.4161,No
HSE Dublin and Midlands,HSE West and North West,-2.3672,-3.3354,-1.4012,Yes
HSE Dublin and North East,HSE Dublin and South East,-0.6921,-1.2353,-0.1602,Yes
HSE Dublin and North East,HSE Mid West,-5.7889,-6.7335,-4.8182,Yes
HSE Dublin and North East,HSE South West,-2.0932,-2.841,-1.3372,Yes
HSE Dublin and North East,HSE West and North West,-4.0125,-4.8599,-3.1382,Yes
HSE Dublin and South East,HSE Mid West,-5.0968,-6.0552,-4.0853,Yes
HSE Dublin and South East,HSE South West,-1.4012,-2.175,-0.6017,Yes
HSE Dublin and South East,HSE West and North West,-3.3204,-4.2095,-2.4269,Yes
HSE Mid West,HSE South West,3.6957,2.5839,4.8024,Yes
HSE Mid West,HSE West and North West,1.7764,0.58,2.9502,Yes
HSE South West,HSE West and North West,-1.9193,-2.9487,-0.8955,Yes
