Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,0.2575,-0.5934,1.1384,No
HSE Dublin and Midlands,HSE Dublin and South East,0.3116,-0.5741,1.2023,No
HSE Dublin and Midlands,HSE Mid West,0.0028,-1.4088,1.1658,No
HSE Dublin and Midlands,HSE South West,0.0549,-1.0785,1.1256,No
HSE Dublin and Midlands,HSE West and North West,0.3139,-0.8882,1.2946,No
HSE Dublin and North East,HSE Dublin and South East,0.0541,-0.6771,0.7528,No
HSE Dublin and North East,HSE Mid West,-0.2547,-1.5572,0.7409,No
HSE Dublin and North East,HSE South West,-0.2026,-1.2175,0.6987,No
HSE Dublin and North East,HSE West and North West,0.0563,-1.034,0.8273,No
HSE Dublin and South East,HSE Mid West,-0.3088,-1.6313,0.7266,No
HSE Dublin and South East,HSE South West,-0.2567,-1.2763,0.6876,No
HSE Dublin and South East,HSE West and North West,0.0023,-1.1069,0.8263,No
HSE Mid West,HSE South West,0.0521,-1.221,1.4978,No
HSE Mid West,HSE West and North West,0.3111,-1.0083,1.6838,No
HSE South West,HSE West and North West,0.259,-0.9876,1.3615,No
