Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,-0.1525,-1.081,0.7588,No
HSE Dublin and Midlands,HSE Dublin and South East,-0.1247,-1.0841,0.822,No
HSE Dublin and Midlands,HSE Mid West,0.859,-0.5744,2.3121,No
HSE Dublin and Midlands,HSE South West,-0.3345,-1.525,0.8513,No
HSE Dublin and Midlands,HSE West and North West,0.4477,-0.8576,1.7335,No
HSE Dublin and North East,HSE Dublin and South East,0.0278,-0.7264,0.7886,No
HSE Dublin and North East,HSE Mid West,1.0115,-0.2916,2.3376,No
HSE Dublin and North East,HSE South West,-0.182,-1.2206,0.8684,No
HSE Dublin and North East,HSE West and North West,0.6002,-0.5738,1.8112,No
HSE Dublin and South East,HSE Mid West,0.9837,-0.3554,2.3371,No
HSE Dublin and South East,HSE South West,-0.2098,-1.287,0.8769,No
HSE Dublin and South East,HSE West and North West,0.5724,-0.6479,1.7918,No
HSE Mid West,HSE South West,-1.1935,-2.7159,0.3371,No
HSE Mid West,HSE West and North West,-0.4113,-2.0353,1.1822,No
HSE South West,HSE West and North West,0.7822,-0.6211,2.1702,No
