Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,-1.4038,-2.3717,-0.5629,Yes
HSE Dublin and Midlands,HSE Dublin and South East,-0.8373,-1.5905,-0.1465,Yes
HSE Dublin and Midlands,HSE Mid West,0.6227,0.2761,1.0255,Yes
HSE Dublin and Midlands,HSE South West,0.3129,-0.107,0.7543,No
HSE Dublin and Midlands,HSE West and North West,0.5053,0.1371,0.9269,Yes
HSE Dublin and North East,HSE Dublin and South East,0.5665,-0.4412,1.6386,No
HSE Dublin and North East,HSE Mid West,2.0264,1.2756,2.9392,Yes
HSE Dublin and North East,HSE South West,1.7167,0.9383,2.6437,Yes
HSE Dublin and North East,HSE West and North West,1.9091,1.1485,2.8315,Yes
HSE Dublin and South East,HSE Mid West,1.4599,0.8749,2.1661,Yes
HSE Dublin and South East,HSE South West,1.1502,0.5265,1.8847,Yes
HSE Dublin and South East,HSE West and North West,1.3426,0.7414,2.0523,Yes
HSE Mid West,HSE South West,-0.3097,-0.6009,-0.048,Yes
HSE Mid West,HSE West and North West,-0.1174,-0.3427,0.0965,No
HSE South West,HSE West and North West,0.1924,-0.0914,0.4965,No
