parameter,Mean,SD,2.5%,97.5%
alpha[1],3.8212,0.1849,3.4548,4.183
alpha[2],2.1758,0.1198,1.9378,2.408
alpha[3],2.8679,0.1366,2.5971,3.1345
alpha[4],7.9648,0.2978,7.3717,8.5466
alpha[5],4.2691,0.2216,3.8313,4.7027
alpha[6],6.1883,0.2621,5.6698,6.7005
beta[1],0.3364,0.2569,-0.1716,0.8406
beta[2],0.4889,0.1672,0.1571,0.8159
beta[3],0.4611,0.1907,0.0847,0.8363
beta[4],-0.5226,0.4131,-1.3424,0.2879
beta[5],0.6709,0.3078,0.0599,1.2696
beta[6],-0.1113,0.3621,-0.8276,0.5941
gamma[1],0.7357,0.2543,0.2344,1.2349
gamma[2],0.2906,0.1649,-0.0333,0.6145
gamma[3],0.1977,0.1884,-0.175,0.5674
gamma[4],0.4925,0.4123,-0.3176,1.3033
gamma[5],0.279,0.3064,-0.3237,0.8786
gamma[6],0.3013,0.3614,-0.4111,1.0124
tau[1],1.0132,0.1179,0.7957,1.2579
tau[2],2.417,0.2821,1.8938,2.997
tau[3],1.8505,0.2157,1.4554,2.2976
tau[4],0.3905,0.0454,0.3062,0.4832
tau[5],0.7003,0.0815,0.5494,0.8685
tau[6],0.5079,0.0592,0.3979,0.6304
phi,0.5614,0.0313,0.5009,0.6235
