Region,time,residual
HSE Dublin and Midlands,1,-0.4098
HSE Dublin and North East,1,-0.1341
HSE Dublin and South East,1,-2.9602
HSE Mid West,1,-8.4864
HSE South West,1,-2.9946
HSE West and North West,1,-4.9885
HSE Dublin and Midlands,2,7.0391
HSE Dublin and North East,2,2.408
HSE Dublin and South East,2,-2.8709
HSE Mid West,2,3.0943
HSE South West,2,0.9373
HSE West and North West,2,7.3249
HSE Dublin and Midlands,3,5.067
HSE Dublin and North East,3,-4.5928
HSE Dublin and South East,3,-0.5638
HSE Mid West,3,-1.5663
HSE South West,3,0.4475
HSE West and North West,3,4.4692
HSE Dublin and Midlands,4,0.8739
HSE Dublin and North East,4,-1.2893
HSE Dublin and South East,4,-3.88
HSE Mid West,4,0.6871
HSE South West,4,1.3188
HSE West and North West,4,5.5813
HSE Dublin and Midlands,5,2.2212
HSE Dublin and North East,5,-4.7246
HSE Dublin and South East,5,-0.7899
HSE Mid West,5,1.8832
HSE South West,5,1.8569
HSE West and North West,5,-2.0761
HSE Dublin and Midlands,6,1.3667
HSE Dublin and North East,6,-2.3605
HSE Dublin and South East,6,1.7575
HSE Mid West,6,3.0964
HSE South West,6,-3.1814
HSE West and North West,6,3.4227
HSE Dublin and Midlands,7,0.6724
HSE Dublin and North East,7,0.6534
HSE Dublin and South East,7,1.9029
HSE Mid West,7,-1.4716
HSE South West,7,-1.3176
HSE West and North West,7,0.4875
HSE Dublin and Midlands,8,1.7787
HSE Dublin and North East,8,1.3065
HSE Dublin and South East,8,-3.66
HSE Mid West,8,2.666
HSE South West,8,-0.0808
HSE West and North West,8,4.808
HSE Dublin and Midlands,9,2.1171
HSE Dublin and North East,9,-4.7877
HSE Dublin and South East,9,-1.1219
HSE Mid West,9,2.4222
HSE South West,9,1.551
HSE West and North West,9,6.2587
HSE Dublin and Midlands,10,-0.2453
HSE Dublin and North East,10,-1.1591
HSE Dublin and South East,10,-2.4094
HSE Mid West,10,3.9695
HSE South West,10,1.4511
HSE West and North West,10,4.2462
HSE Dublin and Midlands,11,2.7286
HSE Dublin and North East,11,-5.173
HSE Dublin and South East,11,3.3927
HSE Mid West,11,5.091
HSE South West,11,3.3608
HSE West and North West,11,-0.8865
HSE Dublin and Midlands,12,0.988
HSE Dublin and North East,12,-2.2766
HSE Dublin and South East,12,4.5527
HSE Mid West,12,5.0608
HSE South West,12,-3.2307
HSE West and North West,12,6.4472
HSE Dublin and Midlands,13,0.9072
HSE Dublin and North East,13,1.9591
HSE Dublin and South East,13,3.9709
HSE Mid West,13,0.9625
HSE South West,13,1.6902
HSE West and North West,13,3.6137
HSE Dublin and Midlands,14,2.4014
HSE Dublin and North East,14,0.8275
HSE Dublin and South East,14,-0.2946
HSE Mid West,14,3.9667
HSE South West,14,1.2065
HSE West and North West,14,6.5677
HSE Dublin and Midlands,15,-0.6029
HSE Dublin and North East,15,-6.9043
HSE Dublin and South East,15,0.4097
HSE Mid West,15,0.9764
HSE South West,15,2.5063
HSE West and North West,15,7.4846
HSE Dublin and Midlands,16,-1.9973
HSE Dublin and North East,16,-1.5596
HSE Dublin and South East,16,0.08
HSE Mid West,16,3.743
HSE South West,16,4.2014
HSE West and North West,16,6.2212
HSE Dublin and Midlands,17,-0.7079
HSE Dublin and North East,17,-3.9778
HSE Dublin and South East,17,-0.416
HSE Mid West,17,5.8103
HSE South West,17,4.2202
HSE West and North West,17,-0.2044
HSE Dublin and Midlands,18,-3.3055
HSE Dublin and North East,18,-2.562
HSE Dublin and South East,18,1.1728
HSE Mid West,18,6.0484
HSE South West,18,-0.9612
HSE West and North West,18,4.7493
HSE Dublin and Midlands,19,1.4224
HSE Dublin and North East,19,1.9671
HSE Dublin and South East,19,1.0589
HSE Mid West,19,1.4801
HSE South West,19,3.1425
HSE West and North West,19,2.6905
HSE Dublin and Midlands,20,4.1633
HSE Dublin and North East,20,0.1207
HSE Dublin and South East,20,-2.4841
HSE Mid West,20,3.6862
HSE South West,20,1.8233
HSE West and North West,20,6.2542
HSE Dublin and Midlands,21,0.575
HSE Dublin and North East,21,-6.3667
HSE Dublin and South East,21,-2.5316
HSE Mid West,21,1.1044
HSE South West,21,3.7658
HSE West and North West,21,6.0852
HSE Dublin and Midlands,22,-0.6395
HSE Dublin and North East,22,0.1548
HSE Dublin and South East,22,-2.5589
HSE Mid West,22,5.6985
HSE South West,22,4.5479
HSE West and North West,22,5.3154
HSE Dublin and Midlands,23,-0.9068
HSE Dublin and North East,23,-3.209
HSE Dublin and South East,23,-2.3289
HSE Mid West,23,5.3098
HSE South West,23,3.1951
HSE West and North West,23,-2.8085
HSE Dublin and Midlands,24,-2.9788
HSE Dublin and North East,24,-3.5463
HSE Dublin and South East,24,-0.2482
HSE Mid West,24,5.3577
HSE South West,24,-4.5012
HSE West and North West,24,4.43
HSE Dublin and Midlands,25,-0.6882
HSE Dublin and North East,25,-0.5902
HSE Dublin and South East,25,0.4083
HSE Mid West,25,-1.1223
HSE South West,25,1.2587
HSE West and North West,25,0.783
HSE Dublin and Midlands,26,1.9493
HSE Dublin and North East,26,-1.3994
HSE Dublin and South East,26,-5.1541
HSE Mid West,26,4.7659
HSE South West,26,0.4605
HSE West and North West,26,4.43
HSE Dublin and Midlands,27,1.5456
HSE Dublin and North East,27,-8.028
HSE Dublin and South East,27,-4.2626
HSE Mid West,27,3.4869
HSE South West,27,-2.2693
HSE West and North West,27,4.2919
HSE Dublin and Midlands,28,-0.7038
HSE Dublin and North East,28,-3.2437
HSE Dublin and South East,28,-4.3896
HSE Mid West,28,6.327
HSE South West,28,-2.0173
HSE West and North West,28,2.3715
HSE Dublin and Midlands,29,-0.4319
HSE Dublin and North East,29,-5.1153
HSE Dublin and South East,29,-1.9631
HSE Mid West,29,6.4787
HSE South West,29,-0.7492
HSE West and North West,29,-1.364
HSE Dublin and Midlands,30,-5.0155
HSE Dublin and North East,30,-1.6941
HSE Dublin and South East,30,-0.8456
HSE Mid West,30,6.2814
HSE South West,30,-4.474
HSE West and North West,30,3.0868
HSE Dublin and Midlands,31,-1.7619
HSE Dublin and North East,31,-0.3801
HSE Dublin and South East,31,0.0512
HSE Mid West,31,0.3429
HSE South West,31,-0.798
HSE West and North West,31,0.2316
HSE Dublin and Midlands,32,0.3548
HSE Dublin and North East,32,-1.5796
HSE Dublin and South East,32,-4.8285
HSE Mid West,32,4.4587
HSE South West,32,-1.8969
HSE West and North West,32,4.1071
HSE Dublin and Midlands,33,-0.8875
HSE Dublin and North East,33,-6.3734
HSE Dublin and South East,33,-3.4648
HSE Mid West,33,2.7501
HSE South West,33,-1.6959
HSE West and North West,33,6.5139
HSE Dublin and Midlands,34,-1.2271
HSE Dublin and North East,34,-1.7018
HSE Dublin and South East,34,-3.8472
HSE Mid West,34,4.4922
HSE South West,34,1.6248
HSE West and North West,34,4.7034
HSE Dublin and Midlands,35,-2.0707
HSE Dublin and North East,35,-4.1993
HSE Dublin and South East,35,-1.9306
HSE Mid West,35,6.0968
HSE South West,35,2.3276
HSE West and North West,35,-2.8831
HSE Dublin and Midlands,36,-2.7012
HSE Dublin and North East,36,-1.5078
HSE Dublin and South East,36,-0.9093
HSE Mid West,36,6.0977
HSE South West,36,-2.649
HSE West and North West,36,3.3453
HSE Dublin and Midlands,37,0.0453
HSE Dublin and North East,37,0.5106
HSE Dublin and South East,37,-1.0294
HSE Mid West,37,-0.3816
HSE South West,37,0.717
HSE West and North West,37,1.6432
HSE Dublin and Midlands,38,2.4051
HSE Dublin and North East,38,-1.4629
HSE Dublin and South East,38,-6.014
HSE Mid West,38,5.0007
HSE South West,38,-2.325
HSE West and North West,38,3.4718
HSE Dublin and Midlands,39,1.0764
HSE Dublin and North East,39,-6.9462
HSE Dublin and South East,39,-3.1123
HSE Mid West,39,3.5159
HSE South West,39,0.0654
HSE West and North West,39,3.8605
HSE Dublin and Midlands,40,-0.7207
HSE Dublin and North East,40,-1.8499
HSE Dublin and South East,40,-2.9845
HSE Mid West,40,7.1043
HSE South West,40,3.4179
HSE West and North West,40,3.5703
HSE Dublin and Midlands,41,0.3574
HSE Dublin and North East,41,-3.8009
HSE Dublin and South East,41,-2.2326
HSE Mid West,41,8.4719
HSE South West,41,1.9646
HSE West and North West,41,-2.5886
HSE Dublin and Midlands,42,-0.575
HSE Dublin and North East,42,-0.2584
HSE Dublin and South East,42,0.1449
HSE Mid West,42,6.7787
HSE South West,42,-4.9758
HSE West and North West,42,2.883
HSE Dublin and Midlands,43,-0.6411
HSE Dublin and North East,43,1.0962
HSE Dublin and South East,43,-0.258
HSE Mid West,43,0.4531
HSE South West,43,-1.7155
HSE West and North West,43,-0.3558
HSE Dublin and Midlands,44,2.8916
HSE Dublin and North East,44,-0.3446
HSE Dublin and South East,44,-6.1593
HSE Mid West,44,4.2721
HSE South West,44,-2.1775
HSE West and North West,44,3.4002
HSE Dublin and Midlands,45,1.9743
HSE Dublin and North East,45,-5.1297
HSE Dublin and South East,45,-3.559
HSE Mid West,45,0.87
HSE South West,45,1.3692
HSE West and North West,45,4.3052
HSE Dublin and Midlands,46,-0.4066
HSE Dublin and North East,46,-1.1914
HSE Dublin and South East,46,-2.8341
HSE Mid West,46,4.8923
HSE South West,46,2.7141
HSE West and North West,46,4.477
HSE Dublin and Midlands,47,1.669
HSE Dublin and North East,47,-3.5587
HSE Dublin and South East,47,-0.5582
HSE Mid West,47,7.9904
HSE South West,47,2.5766
HSE West and North West,47,0.0249
HSE Dublin and Midlands,48,-1.4892
HSE Dublin and North East,48,-0.0717
HSE Dublin and South East,48,0.6275
HSE Mid West,48,6.9024
HSE South West,48,-5.0135
HSE West and North West,48,1.6331
HSE Dublin and Midlands,49,-0.956
HSE Dublin and North East,49,0.4845
HSE Dublin and South East,49,0.6515
HSE Mid West,49,0.3468
HSE South West,49,-0.3382
HSE West and North West,49,0.0308
HSE Dublin and Midlands,50,3.3777
HSE Dublin and North East,50,0.5581
HSE Dublin and South East,50,-6.3947
HSE Mid West,50,5.4881
HSE South West,50,-2.7334
HSE West and North West,50,5.7115
HSE Dublin and Midlands,51,2.743
HSE Dublin and North East,51,-5.0807
HSE Dublin and South East,51,-0.974
HSE Mid West,51,4.1652
HSE South West,51,2.5598
HSE West and North West,51,7.4601
HSE Dublin and Midlands,52,-5.1068
HSE Dublin and North East,52,-1.9553
HSE Dublin and South East,52,-3.7089
HSE Mid West,52,2.6403
HSE South West,52,-0.0964
HSE West and North West,52,2.5688
HSE Dublin and Midlands,53,-4.4751
HSE Dublin and North East,53,-6.9752
HSE Dublin and South East,53,-3.8783
HSE Mid West,53,1.0544
HSE South West,53,-2.5826
HSE West and North West,53,-5.8865
HSE Dublin and Midlands,54,-3.3055
HSE Dublin and North East,54,-1.6987
HSE Dublin and South East,54,-1.5833
HSE Mid West,54,4.9789
HSE South West,54,-1.536
HSE West and North West,54,4.6875
HSE Dublin and Midlands,55,-1.7393
HSE Dublin and North East,55,1.1409
HSE Dublin and South East,55,-1.3415
HSE Mid West,55,-0.1303
HSE South West,55,0.4439
HSE West and North West,55,-0.365
HSE Dublin and Midlands,56,1.2209
HSE Dublin and North East,56,0.5242
HSE Dublin and South East,56,-7.6756
HSE Mid West,56,5.9754
HSE South West,56,-0.3342
HSE West and North West,56,3.2136
HSE Dublin and Midlands,57,1.6272
HSE Dublin and North East,57,-4.4509
HSE Dublin and South East,57,-1.6055
HSE Mid West,57,4.3925
HSE South West,57,2.8736
HSE West and North West,57,5.1474
HSE Dublin and Midlands,58,-4.0903
HSE Dublin and North East,58,-1.1015
HSE Dublin and South East,58,-3.3944
HSE Mid West,58,7.7504
HSE South West,58,1.0219
HSE West and North West,58,3.9072
HSE Dublin and Midlands,59,-0.7835
HSE Dublin and North East,59,-3.0513
HSE Dublin and South East,59,0.1002
HSE Mid West,59,10.3409
HSE South West,59,0.4946
HSE West and North West,59,-1.7055
HSE Dublin and Midlands,60,-3.682
HSE Dublin and North East,60,-0.8479
HSE Dublin and South East,60,1.4604
HSE Mid West,60,7.6995
HSE South West,60,-5.1724
HSE West and North West,60,4.3425
HSE Dublin and Midlands,61,-0.7006
HSE Dublin and North East,61,1.5021
HSE Dublin and South East,61,-1.0726
HSE Mid West,61,4.9014
HSE South West,61,-2.5027
HSE West and North West,61,-0.482
HSE Dublin and Midlands,62,2.4896
HSE Dublin and North East,62,-0.2873
HSE Dublin and South East,62,-6.5177
HSE Mid West,62,6.8062
HSE South West,62,-3.9079
HSE West and North West,62,2.4846
HSE Dublin and Midlands,63,0.8505
HSE Dublin and North East,63,-5.333
HSE Dublin and South East,63,-1.1502
HSE Mid West,63,3.9388
HSE South West,63,-0.6994
HSE West and North West,63,2.9452
HSE Dublin and Midlands,64,-3.0263
HSE Dublin and North East,64,-2.1107
HSE Dublin and South East,64,-3.7642
HSE Mid West,64,5.8652
HSE South West,64,0.724
HSE West and North West,64,2.1286
HSE Dublin and Midlands,65,-0.9087
HSE Dublin and North East,65,-3.4895
HSE Dublin and South East,65,-1.8862
HSE Mid West,65,8.7159
HSE South West,65,1.0912
HSE West and North West,65,-3.3875
HSE Dublin and Midlands,66,-2.0061
HSE Dublin and North East,66,-1.3537
