Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,-1.4435,-3.2361,0.362,No
HSE Dublin and Midlands,HSE Dublin and South East,-1.0324,-2.9229,0.852,No
HSE Dublin and Midlands,HSE Mid West,1.5664,-1.2083,4.3238,No
HSE Dublin and Midlands,HSE South West,0.192,-2.2501,2.5985,No
HSE Dublin and Midlands,HSE West and North West,1.0386,-1.5041,3.5533,No
HSE Dublin and North East,HSE Dublin and South East,0.4111,-1.0799,1.9494,No
HSE Dublin and North East,HSE Mid West,3.0099,0.4784,5.5579,Yes
HSE Dublin and North East,HSE South West,1.6355,-0.5336,3.8203,No
HSE Dublin and North East,HSE West and North West,2.4821,0.1914,4.7714,Yes
HSE Dublin and South East,HSE Mid West,2.5988,-0.0382,5.1717,No
HSE Dublin and South East,HSE South West,1.2244,-0.9605,3.4355,No
HSE Dublin and South East,HSE West and North West,2.071,-0.285,4.4223,No
HSE Mid West,HSE South West,-1.3744,-4.3596,1.6372,No
HSE Mid West,HSE West and North West,-0.5278,-3.7013,2.6061,No
HSE South West,HSE West and North West,0.8466,-1.9303,3.6774,No
