Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,-0.6344,-2.5008,1.2519,No
HSE Dublin and Midlands,HSE Dublin and South East,-0.373,-2.3579,1.6268,No
HSE Dublin and Midlands,HSE Mid West,-0.5044,-3.4784,2.3827,No
HSE Dublin and Midlands,HSE South West,-0.3426,-2.9091,2.2093,No
HSE Dublin and Midlands,HSE West and North West,0.2939,-2.3879,3.0022,No
HSE Dublin and North East,HSE Dublin and South East,0.2614,-1.3412,1.8916,No
HSE Dublin and North East,HSE Mid West,0.13,-2.5581,2.7845,No
HSE Dublin and North East,HSE South West,0.2918,-1.9857,2.5612,No
HSE Dublin and North East,HSE West and North West,0.9283,-1.4789,3.3729,No
HSE Dublin and South East,HSE Mid West,-0.1314,-2.8923,2.5913,No
HSE Dublin and South East,HSE South West,0.0304,-2.3066,2.3813,No
HSE Dublin and South East,HSE West and North West,0.6669,-1.7962,3.1397,No
HSE Mid West,HSE South West,0.1618,-3.033,3.3096,No
HSE Mid West,HSE West and North West,0.7983,-2.48,4.1181,No
HSE South West,HSE West and North West,0.6365,-2.3359,3.5302,No
