Region1,Region2,MeanDiff,0.17%,99.83%,Sig
HSE Dublin and Midlands,HSE Dublin and North East,0.4466,-0.4618,1.3603,No
HSE Dublin and Midlands,HSE Dublin and South East,0.5394,-0.3922,1.4752,No
HSE Dublin and Midlands,HSE Mid West,0.4145,-1.0179,1.8596,No
HSE Dublin and Midlands,HSE South West,0.4579,-0.7476,1.6527,No
HSE Dublin and Midlands,HSE West and North West,0.4356,-0.9394,1.7812,No
HSE Dublin and North East,HSE Dublin and South East,0.0928,-0.6864,0.8797,No
HSE Dublin and North East,HSE Mid West,-0.0321,-1.3784,1.3024,No
HSE Dublin and North East,HSE South West,0.0113,-1.0969,1.0901,No
HSE Dublin and North East,HSE West and North West,-0.011,-1.2589,1.2247,No
HSE Dublin and South East,HSE Mid West,-0.1249,-1.4714,1.227,No
HSE Dublin and South East,HSE South West,-0.0815,-1.1927,1.0376,No
HSE Dublin and South East,HSE West and North West,-0.1038,-1.347,1.1471,No
HSE Mid West,HSE South West,0.0434,-1.5206,1.5978,No
HSE Mid West,HSE West and North West,0.0211,-1.6826,1.6711,No
HSE South West,HSE West and North West,-0.0223,-1.4911,1.4256,No
