Region,time,fitted
HSE Dublin and Midlands,1,1.3085
HSE Dublin and Midlands,2,4.5806
HSE Dublin and Midlands,3,6.0888
HSE Dublin and Midlands,4,5.3142
HSE Dublin and Midlands,5,5.1699
HSE Dublin and Midlands,6,4.4804
HSE Dublin and Midlands,7,4.6498
HSE Dublin and Midlands,8,5.1321
HSE Dublin and Midlands,9,5.3634
HSE Dublin and Midlands,10,5.6921
HSE Dublin and Midlands,11,5.2844
HSE Dublin and Midlands,12,6.5644
HSE Dublin and Midlands,13,5.765
HSE Dublin and Midlands,14,6.1082
HSE Dublin and Midlands,15,5.8488
HSE Dublin and Midlands,16,4.4473
HSE Dublin and Midlands,17,4.8381
HSE Dublin and Midlands,18,5.1259
HSE Dublin and Midlands,19,5.1014
HSE Dublin and Midlands,20,5.695
HSE Dublin and Midlands,21,6.0856
HSE Dublin and Midlands,22,4.3777
HSE Dublin and Midlands,23,4.2199
HSE Dublin and Midlands,24,3.8966
HSE Dublin and Midlands,25,3.2465
HSE Dublin and Midlands,26,4.0218
HSE Dublin and Midlands,27,4.0872
HSE Dublin and Midlands,28,4.433
HSE Dublin and Midlands,29,4.3814
HSE Dublin and Midlands,30,4.0768
HSE Dublin and Midlands,31,2.6373
HSE Dublin and Midlands,32,2.8048
HSE Dublin and Midlands,33,2.8274
HSE Dublin and Midlands,34,2.8851
HSE Dublin and Midlands,35,3.7876
HSE Dublin and Midlands,36,3.417
HSE Dublin and Midlands,37,3.6027
HSE Dublin and Midlands,38,4.1825
HSE Dublin and Midlands,39,4.142
HSE Dublin and Midlands,40,4.0807
HSE Dublin and Midlands,41,4.8921
HSE Dublin and Midlands,42,4.8537
HSE Dublin and Midlands,43,5.0209
HSE Dublin and Midlands,44,4.2771
HSE Dublin and Midlands,45,4.6916
HSE Dublin and Midlands,46,5.3459
HSE Dublin and Midlands,47,5.8253
HSE Dublin and Midlands,48,5.3612
HSE Dublin and Midlands,49,4.5172
HSE Dublin and Midlands,50,4.4625
HSE Dublin and Midlands,51,5.9346
HSE Dublin and Midlands,52,4.5271
HSE Dublin and Midlands,53,0.9512
HSE Dublin and Midlands,54,4.7006
HSE Dublin and Midlands,55,4.295
HSE Dublin and Midlands,56,4.3003
HSE Dublin and Midlands,57,4.6179
HSE Dublin and Midlands,58,5.0744
HSE Dublin and Midlands,59,4.2958
HSE Dublin and Midlands,60,4.7841
HSE Dublin and Midlands,61,4.1935
HSE Dublin and Midlands,62,4.6662
HSE Dublin and Midlands,63,4.9364
HSE Dublin and Midlands,64,4.7226
HSE Dublin and Midlands,65,4.769
HSE Dublin and Midlands,66,4.1704
HSE Dublin and Midlands,67,4.4449
HSE Dublin and Midlands,68,4.5793
HSE Dublin and Midlands,69,4.7421
HSE Dublin and Midlands,70,4.358
HSE Dublin and Midlands,71,3.5835
HSE Dublin and Midlands,72,3.6072
HSE Dublin and Midlands,73,3.2538
HSE Dublin and Midlands,74,4.0658
HSE Dublin and Midlands,75,3.6199
HSE Dublin and Midlands,76,4.0946
HSE Dublin and Midlands,77,3.9124
HSE Dublin and Midlands,78,3.6078
HSE Dublin and Midlands,79,3.2533
HSE Dublin and Midlands,80,3.0651
HSE Dublin and Midlands,81,2.5576
HSE Dublin and Midlands,82,2.6009
HSE Dublin and Midlands,83,3.0392
HSE Dublin and Midlands,84,3.3387
HSE Dublin and Midlands,85,3.1214
HSE Dublin and Midlands,86,3.0711
HSE Dublin and Midlands,87,3.0437
HSE Dublin and Midlands,88,2.667
HSE Dublin and Midlands,89,3.2547
HSE Dublin and Midlands,90,2.9046
HSE Dublin and Midlands,91,2.4501
HSE Dublin and Midlands,92,3.3068
HSE Dublin and Midlands,93,3.3562
HSE Dublin and Midlands,94,3.7738
HSE Dublin and Midlands,95,4.049
HSE Dublin and Midlands,96,3.4312
HSE Dublin and Midlands,97,3.4377
HSE Dublin and Midlands,98,3.39
HSE Dublin and Midlands,99,3.6714
HSE Dublin and Midlands,100,3.9693
HSE Dublin and Midlands,101,3.8273
HSE Dublin and Midlands,102,4.5345
HSE Dublin and Midlands,103,4.3087
HSE Dublin and Midlands,104,3.3392
HSE Dublin and Midlands,105,2.2951
HSE Dublin and Midlands,106,4.9706
HSE Dublin and Midlands,107,4.193
HSE Dublin and Midlands,108,5.2542
HSE Dublin and Midlands,109,4.6119
HSE Dublin and Midlands,110,4.0425
HSE Dublin and Midlands,111,4.5658
HSE Dublin and Midlands,112,4.3041
HSE Dublin and Midlands,113,4.5955
HSE Dublin and Midlands,114,4.6002
HSE Dublin and Midlands,115,4.5884
HSE Dublin and Midlands,116,3.9786
HSE Dublin and Midlands,117,3.6351
HSE Dublin and Midlands,118,3.2884
