"time","Region","fitted"
1,"HSE Dublin and Midlands",0.855233435389746
1,"HSE Dublin and North East",0.578905691718932
1,"HSE Dublin and South East",0.857731531169401
1,"HSE Mid West",2.59220905126753
1,"HSE South West",1.33847718798228
1,"HSE West and North West",1.70537663405623
2,"HSE Dublin and Midlands",4.80518874453525
2,"HSE Dublin and North East",2.91159740157687
2,"HSE Dublin and South East",3.66102974023306
2,"HSE Mid West",7.24852730168212
2,"HSE South West",5.76212426535367
2,"HSE West and North West",7.97390603830616
3,"HSE Dublin and Midlands",6.2628446622781
3,"HSE Dublin and North East",4.45377108456452
3,"HSE Dublin and South East",5.19680184721213
3,"HSE Mid West",7.30062081822636
3,"HSE South West",6.22765126081052
3,"HSE West and North West",8.19469186072358
4,"HSE Dublin and Midlands",5.35546558880833
4,"HSE Dublin and North East",3.2070163001705
4,"HSE Dublin and South East",4.2398724047044
4,"HSE Mid West",5.30841285521059
4,"HSE South West",5.11984880794124
4,"HSE West and North West",6.25911402662217
5,"HSE Dublin and Midlands",5.20526655294487
5,"HSE Dublin and North East",2.62779368901422
5,"HSE Dublin and South East",3.62006828837137
5,"HSE Mid West",5.86966712536029
5,"HSE South West",5.12657234720707
5,"HSE West and North West",7.53904036164987
6,"HSE Dublin and Midlands",4.4984589004067
6,"HSE Dublin and North East",2.34529813426629
6,"HSE Dublin and South East",3.69051501778297
6,"HSE Mid West",5.43943226093758
6,"HSE South West",5.69044679612936
6,"HSE West and North West",6.58325417708632
7,"HSE Dublin and Midlands",4.66875769005349
7,"HSE Dublin and North East",2.13171459801922
7,"HSE Dublin and South East",3.33642635809742
7,"HSE Mid West",6.38315793924046
7,"HSE South West",5.17148009775522
7,"HSE West and North West",6.31210252264068
8,"HSE Dublin and Midlands",5.15872726964488
8,"HSE Dublin and North East",2.13193048365503
8,"HSE Dublin and South East",4.03350626615605
8,"HSE Mid West",7.13412310195436
8,"HSE South West",4.23871067597468
8,"HSE West and North West",6.05636326105848
9,"HSE Dublin and Midlands",5.39262511230416
9,"HSE Dublin and North East",3.24174655063982
9,"HSE Dublin and South East",3.90555524405666
9,"HSE Mid West",7.70808358545812
9,"HSE South West",5.5849231715639
9,"HSE West and North West",7.43271308785795
10,"HSE Dublin and Midlands",5.72606078128923
10,"HSE Dublin and North East",3.20335920633931
10,"HSE Dublin and South East",3.50367677579669
10,"HSE Mid West",8.07285893988545
10,"HSE South West",5.51985040461102
10,"HSE West and North West",7.54695710787524
11,"HSE Dublin and Midlands",5.3077219196015
11,"HSE Dublin and North East",2.52886857361186
11,"HSE Dublin and South East",3.90253156051255
11,"HSE Mid West",7.92455285432715
11,"HSE South West",4.91771568714319
11,"HSE West and North West",6.50350202871196
12,"HSE Dublin and Midlands",6.61323791225637
12,"HSE Dublin and North East",2.23654505748484
12,"HSE Dublin and South East",3.93310914518164
12,"HSE Mid West",7.83843819192597
12,"HSE South West",6.4625073163254
12,"HSE West and North West",7.30105632391422
13,"HSE Dublin and Midlands",5.79538700007704
13,"HSE Dublin and North East",2.24897161793189
13,"HSE Dublin and South East",3.62305224104602
13,"HSE Mid West",7.79838768484346
13,"HSE South West",5.59930291850896
13,"HSE West and North West",7.98418456976632
14,"HSE Dublin and Midlands",6.14477731345742
14,"HSE Dublin and North East",2.60554978831682
14,"HSE Dublin and South East",4.0470706230545
14,"HSE Mid West",8.69941672640651
14,"HSE South West",5.6896634368919
14,"HSE West and North West",8.53568153176319
15,"HSE Dublin and Midlands",5.87902949594915
15,"HSE Dublin and North East",2.67269107647788
15,"HSE Dublin and South East",3.47865955036411
15,"HSE Mid West",8.44747299607744
15,"HSE South West",6.0923453218426
15,"HSE West and North West",8.03444211367779
16,"HSE Dublin and Midlands",4.44729663091661
16,"HSE Dublin and North East",2.20058702750025
16,"HSE Dublin and South East",2.27182697928084
16,"HSE Mid West",8.25732111483475
16,"HSE South West",5.25677649690798
16,"HSE West and North West",8.32328047667131
17,"HSE Dublin and Midlands",4.84620489147722
17,"HSE Dublin and North East",1.61242539887193
17,"HSE Dublin and South East",3.03106371852448
17,"HSE Mid West",7.56948020219873
17,"HSE South West",5.45688188220551
17,"HSE West and North West",7.78579771750531
18,"HSE Dublin and Midlands",5.14028570016056
18,"HSE Dublin and North East",1.93207740881245
18,"HSE Dublin and South East",3.71027853383714
18,"HSE Mid West",8.30209474915122
18,"HSE South West",5.66803505534737
18,"HSE West and North West",7.50866718782429
19,"HSE Dublin and Midlands",5.11572485763753
19,"HSE Dublin and North East",1.83623922684843
19,"HSE Dublin and South East",3.96992449005773
19,"HSE Mid West",8.4891132063345
19,"HSE South West",5.24892103704295
19,"HSE West and North West",6.98801958208252
20,"HSE Dublin and Midlands",5.72281015441349
20,"HSE Dublin and North East",2.36542619039566
20,"HSE Dublin and South East",4.3135108380196
20,"HSE Mid West",8.8019534760687
20,"HSE South West",5.13613046061998
20,"HSE West and North West",7.96240033727419
21,"HSE Dublin and Midlands",6.12278098017824
21,"HSE Dublin and North East",2.35201547119741
21,"HSE Dublin and South East",3.70792219701092
21,"HSE Mid West",7.88203500656198
21,"HSE South West",5.40145761039979
21,"HSE West and North West",7.98104036982892
