"param","Point est.","Upper C.I."
"alpha[1]",1.00002465266009,1.00013649834641
"alpha[2]",1.00002465266009,1.00013649834641
"alpha[3]",1.00002465266009,1.00013649834641
"alpha[4]",1.00002465266009,1.00013649834641
"alpha[5]",1.00002465266009,1.00013649834641
"alpha[6]",1.00002465266009,1.00013649834641
"beta[1]",1.00004536271251,1.00019966137895
"beta[2]",1.00013177852193,1.00041223950259
"beta[3]",1.00001283331894,1.0000730184538
"beta[4]",1.00001898424842,1.00009499238971
"beta[5]",1.000085957051,1.00017149720568
"beta[6]",0.999998971760147,1.00003714906933
"delta_mid[1]",1.00013689672273,1.00045638651867
"delta_mid[2]",1.00025965561858,1.00076341601665
"delta_mid[3]",1.00003937265656,1.0001145477924
"delta_mid[4]",1.00019602992989,1.00059356525889
"delta_mid[5]",1.00011121161551,1.00020797898507
"delta_mid[6]",0.999999722959023,1.00001364893388
"delta_post[1]",1.00005426985188,1.00020261230163
"delta_post[2]",1.00011451733979,1.00038822501406
"delta_post[3]",1.00000917444846,1.00008166197211
"delta_post[4]",1.00011561371443,1.00033490621238
"delta_post[5]",1.00001347403232,1.00005228542121
"delta_post[6]",0.999995950901326,1.00001506314997
"delta_pre[1]",1.00011085949527,1.00038116338017
"delta_pre[2]",1.00004630307646,1.00017285332303
"delta_pre[3]",1.00000955639955,1.00003341202117
"delta_pre[4]",1.00010039293688,1.00035356037533
"delta_pre[5]",1.00002241675534,1.00011985271588
"delta_pre[6]",0.99999915945168,1.00004334246047
"gamma[1]",0.999994207295234,1.00001702174282
"gamma[2]",0.99999308307605,1.00003273968527
"gamma[3]",1.00006251338573,1.00022867231277
"gamma[4]",1.00009181836565,1.00033531601441
"gamma[5]",1.00014092668851,1.00042566825215
"gamma[6]",1.00002094840264,1.00012348390091
"mu_lambda",1.00002465266009,1.00013649834641
"phi",0.999999316243136,1.000041102361
"sigma_mid",1.00001036370407,1.00009295173732
"sigma_post",1.00001845143254,1.00008709091635
"sigma_pre",0.999985389626619,1.00000186360511
"tau[1]",1.0001256375292,1.00042695981674
"tau[2]",0.999980919433919,0.999998489052458
"tau[3]",1.00001075307066,1.00002519229357
"tau[4]",1.00002217891019,1.00007173821648
"tau[5]",1.00000378674598,1.00006132765107
"tau[6]",1.00002138663347,1.0000701556902
