"param","Point est.","Upper C.I."
"alpha[1]",1.00003678036668,1.00015552884289
"alpha[2]",1.0000802225647,1.00030925912487
"alpha[3]",1.00006066097739,1.00023664142385
"alpha[4]",0.999999912043526,1.00001433872535
"alpha[5]",1.00003535101196,1.00013268175534
"alpha[6]",1.00004537212896,1.00019608066852
"beta[1]",1.00024132970552,1.00025116339631
"beta[2]",1.00025392710857,1.00058814449146
"beta[3]",1.00019957421498,1.00048018311055
"beta[4]",1.0010081732151,1.00279336326564
"beta[5]",1.00228737290975,1.00687853940809
"beta[6]",1.00063441624999,1.00115716070251
"delta_mid[1]",1.00008065378708,1.00029383665753
"delta_mid[2]",1.0000418409763,1.00012676901158
"delta_mid[3]",1.00003997754309,1.00019051120841
"delta_mid[4]",1.00010436288911,1.00036679305257
"delta_mid[5]",1.00010754934532,1.00036202096088
"delta_mid[6]",1.00011914276685,1.00037590748127
"delta_post[1]",1.00002101129724,1.000064654443
"delta_post[2]",1.00001417453572,1.00008351317434
"delta_post[3]",1.00010490371649,1.0003767817907
"delta_post[4]",1.00007125523986,1.00026835202358
"delta_post[5]",1.0000094949308,1.00009530709476
"delta_post[6]",1.00001902606761,1.00006101784268
"delta_pre[1]",1.00002426605823,1.0001114675386
"delta_pre[2]",0.999996146302501,1.00000654056159
"delta_pre[3]",1.00010667024398,1.00038937531876
"delta_pre[4]",1.00014133277266,1.00043612892155
"delta_pre[5]",1.00005581678815,1.00017486479487
"delta_pre[6]",1.0000549132212,1.00022810989063
"eta_beta",1.00148712746951,1.00342083014551
"eta_gamma",1.00159496748787,1.00451619354509
"gamma[1]",1.00055058110889,1.00151907995365
"gamma[2]",1.00004963807364,1.0001204379684
"gamma[3]",1.0000906194808,1.00026353163259
"gamma[4]",1.00207451344158,1.00611540593868
"gamma[5]",1.00223846431713,1.00633858908813
"gamma[6]",1.00049578428904,1.00134165303965
"mu_beta",1.00078983787629,1.00155434769054
"mu_gamma",1.00170490754662,1.00467950113552
"phi",1.00021024564621,1.0005965606816
"sigma_mid",1.00010205743779,1.00036531108297
"sigma_post",1.00002789129956,1.00012201516997
"sigma_pre",1.00016132190721,1.00054346433587
"tau[1]",1.00005607255165,1.00011686825167
"tau[2]",1.00001367959605,1.00009246002426
"tau[3]",1.00007125096825,1.00027082234577
"tau[4]",1.00002209069098,1.0001071949257
"tau[5]",1.00004638707808,1.00016155061639
"tau[6]",1.00001813799784,1.00011340233927
"tau_beta",1.00102195352336,1.0016862306828
"tau_gamma",1.00128809902522,1.00191504076727
