"param","Point est.","Upper C.I."
"alpha[1]",0.999999773442448,1.00003767847881
"alpha[2]",1.0001179472445,1.00040795768181
"alpha[3]",1.00003857377721,1.00014981716423
"alpha[4]",1.00002587896703,1.00005265825445
"alpha[5]",1.00005326298898,1.0001624089003
"alpha[6]",0.99999349305925,1.00001783649628
"beta[1]",1.00049077350806,1.00155305928622
"beta[2]",1.0005897014298,1.00174532470517
"beta[3]",1.0006132002152,1.00187639297308
"beta[4]",1.00058920463112,1.00184792422867
"beta[5]",1.00057684993814,1.00151304297334
"beta[6]",1.00032014387668,1.0008658621651
"delta_mid[1]",1.00011944361067,1.00039724455483
"delta_mid[2]",1.00063288339389,1.00203582339178
"delta_mid[3]",1.0000215356903,1.00010124630964
"delta_mid[4]",1.00002457278625,1.00012658039674
"delta_mid[5]",1.00004532843114,1.00018309436433
"delta_mid[6]",1.00021870687824,1.0007035105708
"delta_post[1]",1.00004800531541,1.00018999208714
"delta_post[2]",1.00041679906671,1.00134107152505
"delta_post[3]",1.00014112395058,1.00041263596575
"delta_post[4]",0.999983187569859,1.00000112788301
"delta_post[5]",0.999997875105597,1.00000832697157
"delta_post[6]",1.00002975869737,1.00014142809409
"delta_pre[1]",1.00006160740737,1.00022648135337
"delta_pre[2]",1.00020151264936,1.00067367634795
"delta_pre[3]",0.999996595537364,1.00003479179985
"delta_pre[4]",0.999981000987282,0.999987887117189
"delta_pre[5]",1.00016981157446,1.00057406709123
"delta_pre[6]",1.00007424779823,1.0002796395499
"eta_beta",1.00069542618242,1.00217136067738
"eta_gamma",1.00045193213198,1.00102107466062
"gamma[1]",1.00096501091537,1.00265633131775
"gamma[2]",1.00082699078005,1.00250605705319
"gamma[3]",1.00056568458969,1.00166697606739
"gamma[4]",1.00126042980478,1.00296261461172
"gamma[5]",1.00070877095643,1.00217600892866
"gamma[6]",1.00107379376389,1.00269693550355
"mu_beta",1.00021280142622,1.00065197789562
"mu_gamma",1.0015518989688,1.00439325282996
"phi",1.0000638480978,1.00023286135136
"sigma_mid",1.00005383838406,1.00011727028305
"sigma_post",1.00001351246854,1.00008362435934
"sigma_pre",0.99999454698031,1.00003158326702
"tau[1]",1.00000187233208,1.00006379273807
"tau[2]",1.00001187835296,1.00007657760411
"tau[3]",1.00001202564554,1.00009217948988
"tau[4]",1.00008334986906,1.0002860374452
"tau[5]",1.00001053424873,1.00005833208549
"tau[6]",1.00001020695052,1.00003117574567
"tau_beta",1.00064909782498,1.00130427892841
"tau_gamma",1.00104836008779,1.00174227135953
