"param","Point est.","Upper C.I."
"alpha[1]",0.999993128275727,1.00001033342952
"alpha[2]",1.00000984139291,1.00004239965659
"alpha[3]",1.00000722627623,1.00005728597326
"alpha[4]",1.00004725225405,1.00006231404374
"alpha[5]",1.00003600239676,1.00015639514384
"alpha[6]",1.00002846184043,1.00011607232986
"beta[1]",1.00002667311339,1.00008415574918
"beta[2]",1.00009855571691,1.0002630609712
"beta[3]",1.00021233535595,1.00057751768651
"beta[4]",1.00084363516561,1.00216456428153
"beta[5]",1.00001186223847,1.00004776909822
"beta[6]",1.00005606138815,1.00018697316671
"delta_mid[1]",0.999992077143375,1.00002219652554
"delta_mid[2]",1.00003728595139,1.00013989951655
"delta_mid[3]",1.00003843962003,1.00015676286626
"delta_mid[4]",1.0001141701408,1.00032272997576
"delta_mid[5]",1.00009944930901,1.00028684681666
"delta_mid[6]",1.00017872118495,1.00060628137694
"delta_post[1]",1.00006340723692,1.00025270835078
"delta_post[2]",1.00000849807492,1.00001568837979
"delta_post[3]",1.00003367225725,1.000128593597
"delta_post[4]",1.00001683120343,1.00009253943757
"delta_post[5]",1.00015882414388,1.00033904562336
"delta_post[6]",1.00007901978044,1.00025985195171
"delta_pre[1]",1.00007957370554,1.00026095871199
"delta_pre[2]",0.999978187317756,0.99998380422645
"delta_pre[3]",1.00001202875987,1.00004311999584
"delta_pre[4]",1.00018545648181,1.00059112704937
"delta_pre[5]",1.00001470122798,1.00008823405917
"delta_pre[6]",1.00020372303033,1.00069315561446
"eta_beta",1.00055565857993,1.00170944946107
"eta_gamma",1.00214536288197,1.00648707408835
"gamma[1]",1.00033819797266,1.00104612023641
"gamma[2]",1.00010708844962,1.00034971046557
"gamma[3]",1.00037889547513,1.00104896988061
"gamma[4]",1.0026708561194,1.00801883206748
"gamma[5]",1.00083533847253,1.00241060677397
"gamma[6]",1.0000857057259,1.00027610216042
"mu_beta",1.00026922046531,1.00048906178335
"mu_gamma",1.00109359075811,1.00337025082726
"phi",1.0001192604602,1.00025608248462
"sigma_mid",1.00001824592569,1.00006167696496
"sigma_post",1.00003663776458,1.0001801040792
"sigma_pre",1.00000285180544,1.00003825383354
"tau[1]",1.00005065093678,1.00018987515861
"tau[2]",1.000006184789,1.00001947798229
"tau[3]",1.00001037765544,1.00006855059306
"tau[4]",1.00004865901907,1.00016600030185
"tau[5]",1.00012194440353,1.00044040416937
"tau[6]",1.00015435438398,1.00052064499268
"tau_beta",1.00078883975933,1.00135504532417
"tau_gamma",1.00137325684204,1.00178660509147
