name,address,county,region,lat,lon
Aut Even Hospital,"Aut Even Hospital, Freshford Road, Kilkenny, County Kilkenny, Leinster, R95 P96W, Éire / Ireland",Kilkenny,HSE Dublin and South East,52.6766346,-7.2702373
Blackrock Clinic Dublin,"Blackrock Clinic, Rock Road, Williamstown, Blackrock-Williamstown DED 1986, Dublin, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 E4X7, Éire / Ireland",Dublin,HSE Dublin and South East,53.3038908,-6.1881443
Bon Secours Hospital Cork,"Bon Secours Hospital, College Road, Bishop's-mill-lands, Gillabbey C, Cork, County Cork, Munster, T12 DV56, Éire / Ireland",Cork,HSE South West,51.8922940,-8.4975029
Bon Secours Hospital Dublin,"Bon Secours Hospital, Glasnevin Hill, Glasnevin, Glasnevin A ED, Dublin, County Dublin, Leinster, D09 YN97, Éire / Ireland",Dublin,HSE Dublin and North East,53.3758125,-6.2672998
Bon Secours Hospital Galway,"Bon Secours Hospital Galway, Renmore Road, Renmore, Cathair na Gaillimhe, County Galway, Connacht, H91 KC7H, Éire / Ireland",Galway,HSE West and North West,53.2778434,-9.0194261
Bon Secours Hospital Limerick at Barrington's,"Barrington's Hospital, George's Quay, Limerick, V94 W9YX",Limerick,HSE Mid West,52.6638,-8.6310
Bon Secours Hospital Tralee,"Bon Secours Hospital, Strand Street, Balloonagh, Tralee Urban ED, Tralee Municipal District, County Kerry, Munster, V92 VH68, Éire / Ireland",Kerry,HSE South West,52.2699406,-9.7131602
Clane General Hospital Kildare,"Clane Hospital, Prosperous Road, Clane ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, W91 X253, Éire / Ireland",Kildare,HSE Dublin and Midlands,53.2901542,-6.7004780
Galway Clinic,"Galway Clinic, Garrán Ard, Doughiska, Ballybaan, Cathair na Gaillimhe, County Galway, Connacht, H91 HHT0, Éire / Ireland",Galway,HSE West and North West,53.2819707,-8.9733521
Hermitage Clinic Dublin,"Hermitage Clinic, Old Lucan Road, Palmerstown West DED 1986, South Dublin, County Dublin, Leinster, D20 W722, Éire / Ireland",Dublin,HSE Dublin and Midlands,53.3591678,-6.4060230
Kingsbridge Private Hospital Sligo,"Kingsbridge Private Hospital, Ray MacSharry Road, Magheraboy, Sligo, Sligo Municipal Borough District, County Sligo, Connacht, F91 EP49, Éire / Ireland",Sligo,HSE West and North West,54.2684726,-8.4816546
Mater Private Hospital Dublin,"Mater Private Hospital, Eccles Street, Inns Quay A ED, Dublin, Dublin 7, Leinster, D07 WKW8, Éire / Ireland",,HSE Dublin and North East,53.3580893,-6.2644724
Mater Private Hospital Cork,"Mater Private Cork, City Gate, Ballinure, Mahon, Mahon B, Cork, County Cork, Munster, T12 CR23, Éire / Ireland",Cork,HSE South West,51.8863178,-8.4061349
Sports Surgery Clinic,"Sports Surgery Clinic, Santry Demesne, Dublin 9, D09 C523",Dublin,HSE Dublin and North East,53.3928,-6.2486
St Francis Private Hospital Mullingar,"St. Francis Private Hospital, Millmount, Mullingar, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, N91 FE40, Éire / Ireland",Westmeath,HSE Dublin and Midlands,53.5143525,-7.3349067
St John of God Hospital Dublin,"St John of God Hospital, Stillorgan Grove, Blackrock-Carysfort DED 1986, Blackrock, Dún Laoghaire-Rathdown, County Dublin, Leinster, A94 TV08, Éire / Ireland",Dublin,HSE Dublin and South East,53.2853967,-6.1921557
St Vincent's Private Hospital,"St Vincent's Private Hospital, Merrion Road, Dublin 4, D04 YN26",Dublin,HSE Dublin and South East,53.3178,-6.2198
UPMC Whitfield Waterford,"UPMC Whitfield, Cork Road, Killoteran, Waterford City Metropolitan District, County Waterford, Munster, X91 V9D2, Éire / Ireland",Waterford,HSE Dublin and South East,52.2401191,-7.1722815
