"week_start","hospital","region","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week"
2022-12-26,CHI at Crumlin,HSE Dublin and Midlands,4,0,4,0,0,0,0,1
2022-12-26,CHI at Tallaght,HSE Dublin and Midlands,0,0,0,0,0,0,0,1
2022-12-26,CHI at Temple Street,HSE Dublin and Midlands,8,0,8,0,0,1,0,1
2022-12-26,MRH Mullingar,HSE Dublin and Midlands,11,0,11,11,1,1,0,1
2022-12-26,MRH Portlaoise,HSE Dublin and Midlands,8,0,8,0,5,0,0,1
2022-12-26,MRH Tullamore,HSE Dublin and Midlands,6,0,6,9,5,0,0,1
2022-12-26,Naas General Hospital,HSE Dublin and Midlands,15,0,15,0,14,5,0,1
2022-12-26,St. James's Hospital,HSE Dublin and Midlands,24,0,24,0,62,5,0,1
2022-12-26,Tallaght University Hospital,HSE Dublin and Midlands,21,0,21,0,42,4,0,1
2022-12-26,Beaumont Hospital,HSE Dublin and North East,0,0,0,24,19,0,0,1
2022-12-26,Cavan General Hospital,HSE Dublin and North East,14,1,15,8,4,0,0,1
2022-12-26,Connolly Hospital,HSE Dublin and North East,7,0,7,33,9,0,0,1
2022-12-26,Mater Misericordiae University Hospital,HSE Dublin and North East,38,0,38,0,36,5,0,1
2022-12-26,Our Lady of Lourdes Hospital,HSE Dublin and North East,17,1,18,16,38,0,0,1
2022-12-26,Our Lady's Hospital Navan,HSE Dublin and North East,3,0,3,17,4,0,0,1
2022-12-26,St Luke's General Hospital Kilkenny,HSE Dublin and South East,11,0,11,15,8,8,0,1
2022-12-26,St. Vincent's University Hospital,HSE Dublin and South East,33,0,33,0,44,10,0,1
2022-12-26,Tipperary University Hospital,HSE Dublin and South East,6,0,6,21,2,1,0,1
2022-12-26,UH Waterford,HSE Dublin and South East,0,0,0,45,20,0,0,1
2022-12-26,Wexford General Hospital,HSE Dublin and South East,13,1,14,21,12,1,0,1
2022-12-26,UH Limerick,HSE Mid West,36,12,48,37,19,14,0,1
2022-12-26,Cork University Hospital,HSE South West,31,0,31,24,22,2,0,1
2022-12-26,Mercy University Hospital,HSE South West,25,0,25,8,19,11,0,1
2022-12-26,UH Kerry,HSE South West,23,0,23,0,12,5,0,1
2022-12-26,Galway University Hospital,HSE West and North West,28,2,30,13,20,4,0,1
2022-12-26,Letterkenny University Hospital,HSE West and North West,15,0,15,14,22,3,0,1
2022-12-26,Mayo University Hospital,HSE West and North West,12,5,17,9,14,10,0,1
2022-12-26,Portiuncula University Hospital,HSE West and North West,9,0,9,13,4,1,0,1
2022-12-26,Sligo University Hospital,HSE West and North West,26,0,26,7,10,9,0,1
2023-01-02,CHI at Crumlin,HSE Dublin and Midlands,32,0,32,0,0,0,0,7
2023-01-02,CHI at Tallaght,HSE Dublin and Midlands,12,0,12,0,0,1,0,7
2023-01-02,CHI at Temple Street,HSE Dublin and Midlands,31,0,31,0,0,2,0,7
2023-01-02,MRH Mullingar,HSE Dublin and Midlands,68,0,68,71,5,2,0,7
2023-01-02,MRH Portlaoise,HSE Dublin and Midlands,43,0,43,74,39,1,0,7
2023-01-02,MRH Tullamore,HSE Dublin and Midlands,19,0,19,111,37,0,0,7
2023-01-02,Naas General Hospital,HSE Dublin and Midlands,145,19,164,80,98,59,0,7
2023-01-02,St. James's Hospital,HSE Dublin and Midlands,199,0,199,0,409,40,0,7
2023-01-02,Tallaght University Hospital,HSE Dublin and Midlands,171,0,171,6,272,42,0,7
2023-01-02,Beaumont Hospital,HSE Dublin and North East,99,0,99,26,155,0,0,7
2023-01-02,Cavan General Hospital,HSE Dublin and North East,85,11,96,48,29,13,0,7
2023-01-02,Connolly Hospital,HSE Dublin and North East,48,0,48,270,60,4,0,7
2023-01-02,Mater Misericordiae University Hospital,HSE Dublin and North East,182,0,182,0,271,50,0,7
2023-01-02,Our Lady of Lourdes Hospital,HSE Dublin and North East,107,12,119,150,268,7,0,7
2023-01-02,Our Lady's Hospital Navan,HSE Dublin and North East,27,17,44,119,28,4,0,7
2023-01-02,St Luke's General Hospital Kilkenny,HSE Dublin and South East,116,29,145,135,60,71,0,7
2023-01-02,St. Vincent's University Hospital,HSE Dublin and South East,236,0,236,79,347,81,0,7
2023-01-02,Tipperary University Hospital,HSE Dublin and South East,64,0,64,174,20,15,0,7
2023-01-02,UH Waterford,HSE Dublin and South East,0,0,0,392,129,0,0,7
2023-01-02,Wexford General Hospital,HSE Dublin and South East,115,24,139,220,76,30,0,7
2023-01-02,UH Limerick,HSE Mid West,156,130,286,317,115,56,0,7
2023-01-02,Cork University Hospital,HSE South West,227,18,245,152,179,67,0,7
2023-01-02,Mercy University Hospital,HSE South West,119,0,119,70,108,50,0,7
2023-01-02,UH Kerry,HSE South West,165,0,165,108,131,61,0,7
