"week_start","region","region_population","ed_trolleys","ward_trolleys","total_trolleys","surge_capacity_in_use","delayed_transfers_of_care","total_waiting_gt_24hrs","age_75plus_waiting_gt_24hrs","days_in_week","trolleys_per_10k"
2022-12-26,HSE Dublin and Midlands,1077639,97,0,97,20,129,16,0,1,0.9001
2022-12-26,HSE Dublin and North East,1187082,79,2,81,98,110,5,0,1,0.6823
2022-12-26,HSE Dublin and South East,971093,63,1,64,102,86,20,0,1,0.6591
2022-12-26,HSE Mid West,413059,36,12,48,37,19,14,0,1,1.1621
2022-12-26,HSE South West,740614,79,0,79,32,53,18,0,1,1.0667
2022-12-26,HSE West and North West,759652,90,7,97,56,70,27,0,1,1.2769
2023-01-02,HSE Dublin and Midlands,1077639,720,19,739,342,860,147,0,7,6.8576
2023-01-02,HSE Dublin and North East,1187082,548,40,588,613,811,78,0,7,4.9533
2023-01-02,HSE Dublin and South East,971093,531,53,584,1000,632,197,0,7,6.0138
2023-01-02,HSE Mid West,413059,156,130,286,317,115,56,0,7,6.9240
2023-01-02,HSE South West,740614,511,18,529,330,418,178,0,7,7.1427
2023-01-02,HSE West and North West,759652,509,291,800,449,478,255,0,7,10.5311
2023-01-09,HSE Dublin and Midlands,1077639,572,23,595,217,816,91,0,7,5.5213
2023-01-09,HSE Dublin and North East,1187082,374,16,390,581,813,42,0,7,3.2854
2023-01-09,HSE Dublin and South East,971093,395,44,439,1028,673,124,0,7,4.5207
2023-01-09,HSE Mid West,413059,46,110,156,241,111,3,0,7,3.7767
2023-01-09,HSE South West,740614,350,19,369,341,480,49,0,7,4.9824
2023-01-09,HSE West and North West,759652,292,164,456,398,440,114,0,7,6.0027
2023-01-16,HSE Dublin and Midlands,1077639,550,20,570,177,967,71,0,7,5.2893
2023-01-16,HSE Dublin and North East,1187082,275,13,288,431,759,40,0,7,2.4261
2023-01-16,HSE Dublin and South East,971093,292,58,350,778,733,93,0,7,3.6042
2023-01-16,HSE Mid West,413059,55,135,190,255,97,4,0,7,4.5998
2023-01-16,HSE South West,740614,326,46,372,319,544,31,0,7,5.0229
2023-01-16,HSE West and North West,759652,407,196,603,408,474,145,0,7,7.9378
2023-01-23,HSE Dublin and Midlands,1077639,436,19,455,100,959,52,0,7,4.2222
2023-01-23,HSE Dublin and North East,1187082,233,7,240,373,754,3,0,7,2.0218
2023-01-23,HSE Dublin and South East,971093,331,32,363,732,731,78,0,7,3.7381
2023-01-23,HSE Mid West,413059,52,110,162,289,89,7,0,7,3.9220
2023-01-23,HSE South West,740614,396,42,438,266,544,57,0,7,5.9140
2023-01-23,HSE West and North West,759652,327,166,493,258,456,112,0,7,6.4898
2023-01-30,HSE Dublin and Midlands,1077639,469,15,484,82,994,59,0,7,4.4913
2023-01-30,HSE Dublin and North East,1187082,200,5,205,266,729,7,0,7,1.7269
2023-01-30,HSE Dublin and South East,971093,260,54,314,795,659,108,0,7,3.2335
2023-01-30,HSE Mid West,413059,57,163,220,271,116,9,0,7,5.3261
2023-01-30,HSE South West,740614,368,15,383,253,572,67,0,7,5.1714
2023-01-30,HSE West and North West,759652,307,155,462,205,445,89,0,7,6.0817
2023-02-06,HSE Dublin and Midlands,1077639,547,19,566,94,981,64,0,7,5.2522
2023-02-06,HSE Dublin and North East,1187082,204,5,209,375,639,13,0,7,1.7606
2023-02-06,HSE Dublin and South East,971093,346,74,420,891,684,131,0,7,4.3250
2023-02-06,HSE Mid West,413059,96,170,266,282,123,26,0,7,6.4398
2023-02-06,HSE South West,740614,267,15,282,234,586,26,0,7,3.8077
2023-02-06,HSE West and North West,759652,276,157,433,216,458,128,0,7,5.7000
2023-02-13,HSE Dublin and Midlands,1077639,586,21,607,139,959,113,0,7,5.6327
2023-02-13,HSE Dublin and North East,1187082,405,8,413,407,641,43,0,7,3.4791
2023-02-13,HSE Dublin and South East,971093,343,62,405,784,712,102,0,7,4.1706
2023-02-13,HSE Mid West,413059,139,162,301,296,116,30,0,7,7.2871
2023-02-13,HSE South West,740614,391,46,437,251,590,67,0,7,5.9005
2023-02-13,HSE West and North West,759652,399,193,592,225,412,165,0,7,7.7930
2023-02-20,HSE Dublin and Midlands,1077639,634,31,665,120,978,83,0,7,6.1709
2023-02-20,HSE Dublin and North East,1187082,406,5,411,294,678,19,0,7,3.4623
2023-02-20,HSE Dublin and South East,971093,315,35,350,510,699,80,0,7,3.6042
2023-02-20,HSE Mid West,413059,153,170,323,302,141,44,0,7,7.8197
2023-02-20,HSE South West,740614,352,82,434,255,609,63,0,7,5.8600
2023-02-20,HSE West and North West,759652,431,175,606,319,462,201,0,7,7.9773
2023-02-27,HSE Dublin and Midlands,1077639,579,22,601,134,1048,88,0,7,5.5770
2023-02-27,HSE Dublin and North East,1187082,290,5,295,269,712,19,0,7,2.4851
2023-02-27,HSE Dublin and South East,971093,388,25,413,677,721,105,0,7,4.2529
2023-02-27,HSE Mid West,413059,134,179,313,239,177,28,0,7,7.5776
2023-02-27,HSE South West,740614,306,65,371,232,586,42,0,7,5.0094
2023-02-27,HSE West and North West,759652,273,214,487,180,505,149,0,7,6.4108
2023-03-06,HSE Dublin and Midlands,1077639,792,27,819,127,1097,170,0,7,7.5999
2023-03-06,HSE Dublin and North East,1187082,232,16,248,270,697,19,0,7,2.0892
2023-03-06,HSE Dublin and South East,971093,398,24,422,726,645,105,0,7,4.3456
2023-03-06,HSE Mid West,413059,135,172,307,254,138,41,0,7,7.4324
2023-03-06,HSE South West,740614,475,74,549,294,625,122,0,7,7.4128
2023-03-06,HSE West and North West,759652,361,219,580,280,585,140,0,7,7.6351
2023-03-13,HSE Dublin and Midlands,1077639,664,27,691,153,1055,134,0,7,6.4122
2023-03-13,HSE Dublin and North East,1187082,252,4,256,288,689,18,0,7,2.1565
2023-03-13,HSE Dublin and South East,971093,364,17,381,829,637,134,0,7,3.9234
2023-03-13,HSE Mid West,413059,150,154,304,247,95,47,0,7,7.3597
2023-03-13,HSE South West,740614,401,56,457,244,697,82,0,7,6.1706
2023-03-13,HSE West and North West,759652,448,212,660,354,581,217,0,7,8.6882
2023-03-20,HSE Dublin and Midlands,1077639,733,21,754,162,1034,113,0,7,6.9968
2023-03-20,HSE Dublin and North East,1187082,315,11,326,303,748,16,0,7,2.7462
2023-03-20,HSE Dublin and South East,971093,421,27,448,603,660,138,0,7,4.6134
2023-03-20,HSE Mid West,413059,177,183,360,313,86,51,0,7,8.7155
2023-03-20,HSE South West,740614,418,54,472,318,687,93,0,7,6.3731
2023-03-20,HSE West and North West,759652,464,261,725,420,559,216,0,7,9.5438
2023-03-27,HSE Dublin and Midlands,1077639,710,7,717,260,930,139,0,7,6.6534
2023-03-27,HSE Dublin and North East,1187082,325,19,344,346,893,23,0,7,2.8979
2023-03-27,HSE Dublin and South East,971093,350,19,369,534,675,101,0,7,3.7998
2023-03-27,HSE Mid West,413059,192,152,344,309,81,59,0,7,8.3281
2023-03-27,HSE South West,740614,458,64,522,253,723,129,0,7,7.0482
2023-03-27,HSE West and North West,759652,440,229,669,461,535,212,0,7,8.8067
2023-04-03,HSE Dublin and Midlands,1077639,482,8,490,135,950,85,0,7,4.5470
2023-04-03,HSE Dublin and North East,1187082,252,13,265,286,855,25,0,7,2.2324
2023-04-03,HSE Dublin and South East,971093,187,9,196,360,616,28,0,7,2.0183
2023-04-03,HSE Mid West,413059,161,171,332,170,89,70,0,7,8.0376
2023-04-03,HSE South West,740614,375,58,433,264,675,88,0,7,5.8465
2023-04-03,HSE West and North West,759652,487,217,704,481,529,199,0,7,9.2674
2023-04-10,HSE Dublin and Midlands,1077639,544,18,562,99,935,105,0,7,5.2151
2023-04-10,HSE Dublin and North East,1187082,163,2,165,244,793,2,0,7,1.3900
2023-04-10,HSE Dublin and South East,971093,277,35,312,574,575,72,0,7,3.2129
2023-04-10,HSE Mid West,413059,118,171,289,258,80,29,0,7,6.9966
2023-04-10,HSE South West,740614,405,55,460,250,699,102,0,7,6.2111
2023-04-10,HSE West and North West,759652,459,185,644,427,542,197,0,7,8.4776
2023-04-17,HSE Dublin and Midlands,1077639,581,36,617,180,896,120,0,7,5.7255
2023-04-17,HSE Dublin and North East,1187082,223,5,228,210,741,17,0,7,1.9207
2023-04-17,HSE Dublin and South East,971093,357,59,416,543,569,113,0,7,4.2838
2023-04-17,HSE Mid West,413059,144,191,335,324,78,39,0,7,8.1102
2023-04-17,HSE South West,740614,404,84,488,280,608,108,0,7,6.5891
2023-04-17,HSE West and North West,759652,389,225,614,382,541,174,0,7,8.0826
2023-04-24,HSE Dublin and Midlands,1077639,589,31,620,179,879,97,0,7,5.7533
2023-04-24,HSE Dublin and North East,1187082,209,7,216,172,896,12,0,7,1.8196
2023-04-24,HSE Dublin and South East,971093,403,55,458,562,615,94,0,7,4.7163
2023-04-24,HSE Mid West,413059,154,193,347,269,94,61,0,7,8.4007
2023-04-24,HSE South West,740614,376,69,445,255,569,88,0,7,6.0085
2023-04-24,HSE West and North West,759652,382,174,556,346,534,138,0,7,7.3191
2023-05-01,HSE Dublin and Midlands,1077639,672,54,726,254,871,117,0,7,6.7369
2023-05-01,HSE Dublin and North East,1187082,308,8,316,201,894,24,0,7,2.6620
2023-05-01,HSE Dublin and South East,971093,453,59,512,627,636,168,0,7,5.2724
2023-05-01,HSE Mid West,413059,181,186,367,345,94,77,0,7,8.8849
