number,facility_name,address,date_scraped
1,Bantry Injury Unit,"Bantry General Hospital, Carrignagat, Bantry, Cork, P75  DX93",13/03/2026
2,Beaumont Hospital Emergency Department,"Beaumont Hospital, Beaumont Road, Beaumount, Dublin 9, Dublin, D09  C562",13/03/2026
3,Caredoc Arklow,"Arklow Primary Care Centre, Castlepark, Arklow, Wicklow, Y14  AE10",13/03/2026
4,Caredoc Carlow,"Caredoc Carlow, District Hospital, Carlow Health Services Complex, Athy Rd, Carlow, R93  V603",13/03/2026
5,Caredoc Cashel,"Caredoc Cashel, Our Lady’s Hospital, Lower Green, Cashel, Tipperary, E25  P407",13/03/2026
6,Caredoc Clonmel,"Caredoc Clonmel, The County Clinic, Western Road, Clonmel, Tipperary, E91  HT96",13/03/2026
7,Caredoc Dungarvan,"Caredoc Dungarvan, Springmount, Dungarvan, Waterford, X35  WA22",13/03/2026
8,Caredoc Enniscorthy,"Enniscorthy Primary Care Centre, Quarry Road, Enniscorthy, Wexford, Y21  T8W7",13/03/2026
9,Caredoc Gorey,"Caredoc Gorey, Gorey District Hospital, Gorey, Wexford, Y25  N5K6",13/03/2026
10,Caredoc Kilkenny,"Ayrfield Medical Park, Granges Road, Kilkenny City, Kilkenny, R95  P2EF",13/03/2026
11,Caredoc New Ross,"Caredoc New Ross, Chambersland, New Ross, Wexford, Y34  WY18",13/03/2026
12,Caredoc Sligo,"Markievicz Primary Care Centre, Barrack Street, Sligo Town, Sligo, F91  Y8EK",13/03/2026
13,Caredoc Tipperary Town,"Caredoc Tipperary Town, St Vincent’s Hospital, Collegeland, Tipperary, E34  DC63",13/03/2026
14,Caredoc Waterford,"Caredoc Waterford, HSE Community Care, Cork Road, Waterford, X91  VX09",13/03/2026
15,Caredoc Wexford,"Wexford Primary Care Centre, Grogan's Road, Townparks, Wexford Town, Wexford, Y35  DA39",13/03/2026
16,Caredoc Wicklow,"Wicklow Town Primary Care, Glebe, Knockrobin, Wicklow, A67  K5C7",13/03/2026
17,Cashel Injury Unit,"Cashel Injury Unit, Our Lady's Campus, Lower Green, Cashel, Tipperary, E25  P407",13/03/2026
18,Cavan General Hospital Emergency Department,"Cavan Monaghan General Hospital, Lisdarn, Cavan Town, Cavan, H12  Y7W1",13/03/2026
19,Cavan Monaghan Hospital Early Pregnancy Assessment Unit,"Cavan Monaghan General Hospital, Lisdarn, Cavan Town, Cavan, H12  Y7W1",13/03/2026
20,Cavan Monaghan Maternity Emergency Service,"Cavan Monaghan General Hospital, Lisdarn, Cavan Town, Cavan, H12  Y7W1",13/03/2026
21,Children's Health Ireland at Crumlin Emergency Department,"Children’s Health Ireland at Crumlin, Cooley Road, Crumlin, Dublin, D12  N512",13/03/2026
22,Children's Health Ireland at Tallaght Emergency Department,"Children’s Health Ireland at Tallaght, Tallaght University Hospital, Tallaght, Dublin 24, Dublin, D24  TN3C",13/03/2026
23,Children's Health Ireland at Temple Street Emergency Department,"Children’s Health Ireland at Temple Street, Temple Street, Dublin City, Dublin, D01  XD99",13/03/2026
24,Connolly Hospital Blanchardstown Emergency Department,"Connolly Hospital Blanchardstown, Mill Road, Blanchardstown, Dublin 15, Dublin, D15  X40D",13/03/2026
25,Cork University Hospital Emergency Department,"Cork University Hospital, Wilton Road, Wilton, Cork, T12  DC4A",13/03/2026
26,Cork University Maternity Hospital Early Pregnancy Assessment Unit,"South Ring Business Park, 1st Floor Unit 3 Room 3A 4A, South Ring Business Park Kinsale Road, Cork, Cork, T12  F88X",13/03/2026
27,Cork University Maternity Hospital Maternity emergency service,"Cork University Maternity Hospital, Wilton Road, Wilton, Cork City, Cork, T12  YE02",13/03/2026
28,Ddoc Ballymun,"Ballymun Primary Care Centre, Main Street, Ballymun, Dublin, D09  C8P5",13/03/2026
29,Ddoc Coolock,"Coolock Primary Care Centre, Cromcastle Road, Coolock, Dublin, D05  V026",13/03/2026
30,Ddoc Hartstown,"Hartstown Health Centre, Cherryfield Lawn, Clonsilla, Dublin, D15  CR62",13/03/2026
31,Ddoc North Strand,"North Strand Health Centre, 16 North Strand Road, North Strand, Dublin City, Dublin, D01  CC81",13/03/2026
32,Ddoc Swords,"Swords Health Centre, Bridge Street, Townparks, Swords, Dublin, K67  X765",13/03/2026
33,DL Doc,"St Michael's Hospital, George's Street Lower, Dún Laoghaire, Dublin, A96  P902",13/03/2026
34,Dubdoc,"St James's Hospital Dublin, James's Street, Dublin 8, Dublin, D08  NHY1",13/03/2026
35,Dundalk Injury Unit,"Louth County Hospital Dundalk, Dublin Road, Dundalk, Louth, A91  X0DP",13/03/2026
36,Early pregnancy unit,"Cork University Maternity Hospital, Wilton Road, Wilton, Cork City, Cork, T12  YE02",13/03/2026
37,Eastdoc,"St Vincent's University Hospital, Elm Park, Donnybrook, Dublin, D04  T6F4",13/03/2026
38,Edoc Loughlinstown,"St Columcille's Hospital Loughlinstown, Bray Road, Loughlinstown, Dublin 18, Dublin, D18  V9K1",13/03/2026
39,Ennis Injury Unit,"Ennis Injury Unit, Ennis Hospital, Gort Road, Ennis, Clare, V95  HN29",13/03/2026
40,KDoc Celbridge,"Kdoc Celbridge, Shackleton Road, Celbridge, Kildare, W23  PP59",13/03/2026
41,KDoc Naas,"Kildare & West Wicklow Doctors on call, Vista Primary Care, Ballymore Road, Naas, Kildare, W91  E6H2",13/03/2026
42,Letterkenny University Hospital Early Pregnancy Assessment Unit,"Letterkenny University Hospital, Kilmacrennan Road, Letterkenny, Donegal, F92  AE81",13/03/2026
43,Letterkenny University Hospital Emergency Department,"Letterkenny University Hospital, Kilmacrennan Road, Letterkenny, Donegal, F92  AE81",13/03/2026
44,Letterkenny University Hospital Maternity Emergency Service,"Letterkenny University Hospital, Kilmacrennan Road, Letterkenny, Donegal, F92  AE81",13/03/2026
45,Louth Hospital Early Pregnancy Assessment Unit,"Our Lady of Lourdes Hospital Drogheda, Windmill Road, Moneymore, Drogheda, Louth, A92  VW28",13/03/2026
46,Louth Hospital Maternity Emergency Service,"Our Lady of Lourdes Hospital Drogheda, Windmill Road, Moneymore, Drogheda, Louth, A92  VW28",13/03/2026
47,Lukedoc,"Lukedoc, Clonskeagh Hospital Campus, Vergemount, Clonskeagh, Dublin, D06  V406",13/03/2026
48,Mallow Injury Unit,"Mallow General Hospital, Limerick Road, Kilknockan, Mallow, Cork, P51  N288",13/03/2026
49,Mater Misericordiae University Hospital Emergency Department,"Mater Misericordiae University Hospital, Eccles Street, Dublin 7, Dublin, D07  R2WY",13/03/2026
50,Maternity Emergency Unit (MEU),"University Maternity Hospital Limerick, Ennis Road, Limerick City, Limerick, V94  C566",13/03/2026
51,Mater Smithfield Rapid Injury Clinic,"Mater Smithfield Rapid Injury Clinic, The Forge, Smithfield Market, Smithfield, Dublin 7, Dublin, D07  VKP9",13/03/2026
52,Mayo University Hospital Early Pregnancy Assessment Unit,"Mayo University Hospital, Westport Road, Knockaphunta, Castlebar, Mayo, F23  H529",13/03/2026
