date,hospital,ed_trolleys,ward_trolleys,total_trolleys
2023-01-01,Beaumont Hospital,0,0,0
2023-01-01,CHI at Crumlin,4,0,4
2023-01-01,CHI at Tallaght,0,0,0
2023-01-01,CHI at Temple Street,8,0,8
2023-01-01,Cavan General Hospital,14,1,15
2023-01-01,Connolly Hospital,7,0,7
2023-01-01,Cork University Hospital,31,0,31
2023-01-01,Galway University Hospital,28,2,30
2023-01-01,Letterkenny University Hospital,15,0,15
2023-01-01,MRH Mullingar,11,0,11
2023-01-01,MRH Portlaoise,8,0,8
2023-01-01,MRH Tullamore,6,0,6
2023-01-01,Mater Misericordiae University Hospital,38,0,38
2023-01-01,Mayo University Hospital,12,5,17
2023-01-01,Mercy University Hospital,25,0,25
2023-01-01,Naas General Hospital,15,0,15
2023-01-01,Our Lady of Lourdes Hospital,17,1,18
2023-01-01,Our Lady's Hospital Navan,3,0,3
2023-01-01,Portiuncula University Hospital,9,0,9
2023-01-01,Sligo University Hospital,26,0,26
2023-01-01,St Luke's General Hospital Kilkenny,11,0,11
2023-01-01,St. James's Hospital,24,0,24
2023-01-01,St. Vincent's University Hospital,33,0,33
2023-01-01,Tallaght University Hospital,21,0,21
2023-01-01,Tipperary University Hospital,6,0,6
2023-01-01,UH Kerry,23,0,23
2023-01-01,UH Limerick,36,12,48
2023-01-01,UH Waterford,0,0,0
2023-01-01,Wexford General Hospital,13,1,14
2023-01-02,Beaumont Hospital,9,0,9
2023-01-02,CHI at Crumlin,3,0,3
2023-01-02,CHI at Tallaght,0,0,0
2023-01-02,CHI at Temple Street,4,0,4
2023-01-02,Cavan General Hospital,25,2,27
2023-01-02,Connolly Hospital,11,0,11
2023-01-02,Cork University Hospital,33,0,33
2023-01-02,Galway University Hospital,27,6,33
2023-01-02,Letterkenny University Hospital,38,0,38
2023-01-02,MRH Mullingar,10,0,10
2023-01-02,MRH Portlaoise,6,0,6
2023-01-02,MRH Tullamore,11,0,11
2023-01-02,Mater Misericordiae University Hospital,41,0,41
2023-01-02,Mayo University Hospital,18,5,23
2023-01-02,Mercy University Hospital,29,0,29
2023-01-02,Naas General Hospital,31,0,31
2023-01-02,Our Lady of Lourdes Hospital,21,3,24
2023-01-02,Our Lady's Hospital Navan,1,0,1
2023-01-02,Portiuncula University Hospital,13,0,13
2023-01-02,Sligo University Hospital,34,0,34
2023-01-02,St Luke's General Hospital Kilkenny,12,6,18
2023-01-02,St. James's Hospital,23,0,23
2023-01-02,St. Vincent's University Hospital,48,0,48
2023-01-02,Tallaght University Hospital,22,0,22
2023-01-02,Tipperary University Hospital,8,0,8
