week_start,hospital,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2022-12-26,Beaumont Hospital,0,0,0,1
2022-12-26,CHI at Crumlin,4,0,4,1
2022-12-26,CHI at Tallaght,0,0,0,1
2022-12-26,CHI at Temple Street,8,0,8,1
2022-12-26,Cavan General Hospital,14,1,15,1
2022-12-26,Connolly Hospital,7,0,7,1
2022-12-26,Cork University Hospital,31,0,31,1
2022-12-26,Galway University Hospital,28,2,30,1
2022-12-26,Letterkenny University Hospital,15,0,15,1
2022-12-26,MRH Mullingar,11,0,11,1
2022-12-26,MRH Portlaoise,8,0,8,1
2022-12-26,MRH Tullamore,6,0,6,1
2022-12-26,Mater Misericordiae University Hospital,38,0,38,1
2022-12-26,Mayo University Hospital,12,5,17,1
2022-12-26,Mercy University Hospital,25,0,25,1
2022-12-26,Naas General Hospital,15,0,15,1
2022-12-26,Our Lady of Lourdes Hospital,17,1,18,1
2022-12-26,Our Lady's Hospital Navan,3,0,3,1
2022-12-26,Portiuncula University Hospital,9,0,9,1
2022-12-26,Sligo University Hospital,26,0,26,1
2022-12-26,St Luke's General Hospital Kilkenny,11,0,11,1
2022-12-26,St. James's Hospital,24,0,24,1
2022-12-26,St. Vincent's University Hospital,33,0,33,1
2022-12-26,Tallaght University Hospital,21,0,21,1
2022-12-26,Tipperary University Hospital,6,0,6,1
2022-12-26,UH Kerry,23,0,23,1
2022-12-26,UH Limerick,36,12,48,1
2022-12-26,UH Waterford,0,0,0,1
2022-12-26,Wexford General Hospital,13,1,14,1
2023-01-02,Beaumont Hospital,99,0,99,7
2023-01-02,CHI at Crumlin,32,0,32,7
2023-01-02,CHI at Tallaght,12,0,12,7
2023-01-02,CHI at Temple Street,31,0,31,7
2023-01-02,Cavan General Hospital,85,11,96,7
2023-01-02,Connolly Hospital,48,0,48,7
2023-01-02,Cork University Hospital,227,18,245,7
2023-01-02,Galway University Hospital,145,35,180,7
2023-01-02,Letterkenny University Hospital,160,51,211,7
2023-01-02,MRH Mullingar,68,0,68,7
2023-01-02,MRH Portlaoise,43,0,43,7
2023-01-02,MRH Tullamore,19,0,19,7
2023-01-02,Mater Misericordiae University Hospital,182,0,182,7
2023-01-02,Mayo University Hospital,90,59,149,7
2023-01-02,Mercy University Hospital,119,0,119,7
2023-01-02,Naas General Hospital,145,19,164,7
2023-01-02,Our Lady of Lourdes Hospital,107,12,119,7
2023-01-02,Our Lady's Hospital Navan,59,17,44,7
2023-01-02,Portiuncula University Hospital,48,57,63,7
2023-01-02,Sligo University Hospital,108,89,197,7
2023-01-02,St Luke's General Hospital Kilkenny,116,29,145,7
2023-01-02,St. James's Hospital,199,0,199,7
2023-01-02,St. Vincent's University Hospital,236,0,236,7
2023-01-02,Tallaght University Hospital,171,0,171,7
2023-01-02,Tipperary University Hospital,64,0,64,7
2023-01-02,UH Kerry,165,0,165,7
2023-01-02,UH Limerick,156,130,286,7
2023-01-02,UH Waterford,0,0,0,7
2023-01-02,Wexford General Hospital,115,24,139,7
2023-01-09,Beaumont Hospital,36,0,36,7
2023-01-09,CHI at Crumlin,19,0,19,7
2023-01-09,CHI at Tallaght,6,0,6,7
2023-01-09,CHI at Temple Street,23,0,23,7
2023-01-09,Cavan General Hospital,78,8,86,7
2023-01-09,Connolly Hospital,22,0,22,7
2023-01-09,Cork University Hospital,158,19,177,7
2023-01-09,Galway University Hospital,74,16,90,7
2023-01-09,Letterkenny University Hospital,90,28,118,7
2023-01-09,MRH Mullingar,73,0,73,7
2023-01-09,MRH Portlaoise,8,0,8,7
2023-01-09,MRH Tullamore,0,0,0,7
2023-01-09,Mater Misericordiae University Hospital,148,0,148,7
2023-01-09,Mayo University Hospital,64,32,96,7
2023-01-09,Mercy University Hospital,87,0,87,7
2023-01-09,Naas General Hospital,107,23,130,7
2023-01-09,Our Lady of Lourdes Hospital,61,8,69,7
2023-01-09,Our Lady's Hospital Navan,29,0,29,7
2023-01-09,Portiuncula University Hospital,39,38,51,7
2023-01-09,Sligo University Hospital,51,50,101,7
2023-01-09,St Luke's General Hospital Kilkenny,83,30,113,7
2023-01-09,St. James's Hospital,149,0,149,7
2023-01-09,St. Vincent's University Hospital,192,0,192,7
2023-01-09,Tallaght University Hospital,187,0,187,7
2023-01-09,Tipperary University Hospital,60,0,60,7
2023-01-09,UH Kerry,105,0,105,7
2023-01-09,UH Limerick,46,110,156,7
2023-01-09,UH Waterford,0,0,0,7
2023-01-09,Wexford General Hospital,60,14,74,7
2023-01-16,Beaumont Hospital,68,0,68,7
2023-01-16,CHI at Crumlin,53,0,53,7
2023-01-16,CHI at Tallaght,5,0,5,7
2023-01-16,CHI at Temple Street,59,0,59,7
2023-01-16,Cavan General Hospital,12,5,15,7
2023-01-16,Connolly Hospital,0,0,0,7
2023-01-16,Cork University Hospital,159,46,205,7
2023-01-16,Galway University Hospital,146,46,192,7
2023-01-16,Letterkenny University Hospital,127,36,163,7
2023-01-16,MRH Mullingar,62,0,62,7
2023-01-16,MRH Portlaoise,10,0,10,7
2023-01-16,MRH Tullamore,0,0,0,7
2023-01-16,Mater Misericordiae University Hospital,141,0,141,7
2023-01-16,Mayo University Hospital,50,56,106,7
2023-01-16,Mercy University Hospital,84,0,84,7
2023-01-16,Naas General Hospital,79,20,99,7
2023-01-16,Our Lady of Lourdes Hospital,46,8,50,7
2023-01-16,Our Lady's Hospital Navan,14,0,14,7
2023-01-16,Portiuncula University Hospital,53,0,53,7
2023-01-16,Sligo University Hospital,31,58,89,7
2023-01-16,St Luke's General Hospital Kilkenny,88,32,120,7
2023-01-16,St. James's Hospital,123,0,123,7
2023-01-16,St. Vincent's University Hospital,141,0,141,7
2023-01-16,Tallaght University Hospital,159,0,159,7
2023-01-16,Tipperary University Hospital,25,0,25,7
2023-01-16,UH Kerry,83,0,83,7
2023-01-16,UH Limerick,55,135,190,7
2023-01-16,UH Waterford,0,0,0,7
2023-01-16,Wexford General Hospital,38,26,64,7
2023-01-23,Beaumont Hospital,64,0,64,7
2023-01-23,CHI at Crumlin,58,0,58,7
2023-01-23,CHI at Tallaght,8,0,8,7
2023-01-23,CHI at Temple Street,84,0,84,7
2023-01-23,Cavan General Hospital,9,3,10,7
2023-01-23,Connolly Hospital,1,0,1,7
2023-01-23,Cork University Hospital,183,33,216,7
2023-01-23,Galway University Hospital,140,52,192,7
2023-01-23,Letterkenny University Hospital,28,18,46,7
2023-01-23,MRH Mullingar,31,0,31,7
2023-01-23,MRH Portlaoise,9,0,9,7
2023-01-23,MRH Tullamore,9,0,9,7
2023-01-23,Mater Misericordiae University Hospital,127,0,127,7
2023-01-23,Mayo University Hospital,55,55,110,7
2023-01-23,Mercy University Hospital,66,0,66,7
2023-01-23,Naas General Hospital,47,19,66,7
2023-01-23,Our Lady of Lourdes Hospital,20,4,24,7
2023-01-23,Our Lady's Hospital Navan,14,0,14,7
2023-01-23,Portiuncula University Hospital,58,6,64,7
2023-01-23,Sligo University Hospital,46,35,81,7
2023-01-23,St Luke's General Hospital Kilkenny,70,11,81,7
2023-01-23,St. James's Hospital,51,0,51,7
2023-01-23,St. Vincent's University Hospital,113,0,113,7
2023-01-23,Tallaght University Hospital,139,0,139,7
2023-01-23,Tipperary University Hospital,94,0,94,7
2023-01-23,UH Kerry,147,9,156,7
2023-01-23,UH Limerick,52,110,162,7
2023-01-23,UH Waterford,0,0,0,7
2023-01-23,Wexford General Hospital,54,21,75,7
2023-01-30,Beaumont Hospital,17,0,17,7
2023-01-30,CHI at Crumlin,71,0,71,7
2023-01-30,CHI at Tallaght,20,0,20,7
2023-01-30,CHI at Temple Street,81,0,81,7
2023-01-30,Cavan General Hospital,12,2,14,7
2023-01-30,Connolly Hospital,6,0,6,7
2023-01-30,Cork University Hospital,168,15,183,7
2023-01-30,Galway University Hospital,99,36,135,7
2023-01-30,Letterkenny University Hospital,58,14,72,7
2023-01-30,MRH Mullingar,34,0,34,7
2023-01-30,MRH Portlaoise,7,0,7,7
2023-01-30,MRH Tullamore,0,0,0,7
2023-01-30,Mater Misericordiae University Hospital,140,0,140,7
2023-01-30,Mayo University Hospital,26,39,65,7
2023-01-30,Mercy University Hospital,100,0,100,7
2023-01-30,Naas General Hospital,67,15,82,7
2023-01-30,Our Lady of Lourdes Hospital,23,3,26,7
2023-01-30,Our Lady's Hospital Navan,2,0,2,7
2023-01-30,Portiuncula University Hospital,54,0,54,7
2023-01-30,Sligo University Hospital,70,66,136,7
2023-01-30,St Luke's General Hospital Kilkenny,74,17,91,7
2023-01-30,St. James's Hospital,90,0,90,7
2023-01-30,St. Vincent's University Hospital,33,0,33,7
2023-01-30,Tallaght University Hospital,99,0,99,7
2023-01-30,Tipperary University Hospital,112,0,112,7
2023-01-30,UH Kerry,100,0,100,7
2023-01-30,UH Limerick,57,163,220,7
2023-01-30,UH Waterford,0,0,0,7
2023-01-30,Wexford General Hospital,41,37,78,7
2023-02-06,Beaumont Hospital,18,0,18,7
2023-02-06,CHI at Crumlin,61,0,61,7
2023-02-06,CHI at Tallaght,6,0,6,7
2023-02-06,CHI at Temple Street,43,0,43,7
2023-02-06,Cavan General Hospital,11,2,13,7
2023-02-06,Connolly Hospital,6,2,8,7
2023-02-06,Cork University Hospital,131,14,145,7
2023-02-06,Galway University Hospital,93,31,124,7
2023-02-06,Letterkenny University Hospital,49,20,69,7
2023-02-06,MRH Mullingar,76,0,76,7
2023-02-06,MRH Portlaoise,8,0,8,7
2023-02-06,MRH Tullamore,1,0,1,7
2023-02-06,Mater Misericordiae University Hospital,148,0,148,7
2023-02-06,Mayo University Hospital,36,36,72,7
2023-02-06,Mercy University Hospital,89,0,89,7
2023-02-06,Naas General Hospital,40,19,57,7
2023-02-06,Our Lady of Lourdes Hospital,4,1,5,7
2023-02-06,Our Lady's Hospital Navan,17,0,17,7
2023-02-06,Portiuncula University Hospital,57,0,57,7
2023-02-06,Sligo University Hospital,41,70,111,7
2023-02-06,St Luke's General Hospital Kilkenny,64,28,92,7
2023-02-06,St. James's Hospital,154,0,154,7
2023-02-06,St. Vincent's University Hospital,103,0,103,7
2023-02-06,Tallaght University Hospital,160,0,160,7
2023-02-06,Tipperary University Hospital,106,0,106,7
2023-02-06,UH Kerry,47,1,48,7
2023-02-06,UH Limerick,96,170,266,7
2023-02-06,UH Waterford,0,0,0,7
2023-02-06,Wexford General Hospital,73,46,119,7
2023-02-13,Beaumont Hospital,21,0,21,7
2023-02-13,CHI at Crumlin,64,0,64,7
2023-02-13,CHI at Tallaght,19,0,19,7
2023-02-13,CHI at Temple Street,42,0,42,7
2023-02-13,Cavan General Hospital,36,0,36,7
2023-02-13,Connolly Hospital,2,0,2,7
2023-02-13,Cork University Hospital,163,46,209,7
2023-02-13,Galway University Hospital,158,46,204,7
2023-02-13,Letterkenny University Hospital,114,25,139,7
2023-02-13,MRH Mullingar,56,0,56,7
2023-02-13,MRH Portlaoise,24,0,24,7
2023-02-13,MRH Tullamore,0,0,0,7
2023-02-13,Mater Misericordiae University Hospital,237,0,237,7
2023-02-13,Mayo University Hospital,65,52,117,7
2023-02-13,Mercy University Hospital,110,0,110,7
2023-02-13,Naas General Hospital,66,21,87,7
2023-02-13,Our Lady of Lourdes Hospital,91,8,99,7
2023-02-13,Our Lady's Hospital Navan,18,0,18,7
2023-02-13,Portiuncula University Hospital,39,5,44,7
2023-02-13,Sligo University Hospital,23,65,88,7
2023-02-13,St Luke's General Hospital Kilkenny,57,8,65,7
2023-02-13,St. James's Hospital,116,0,116,7
2023-02-13,St. Vincent's University Hospital,180,0,180,7
2023-02-13,Tallaght University Hospital,199,0,199,7
2023-02-13,Tipperary University Hospital,63,0,63,7
2023-02-13,UH Kerry,118,0,118,7
2023-02-13,UH Limerick,139,162,301,7
2023-02-13,UH Waterford,0,0,0,7
2023-02-13,Wexford General Hospital,45,54,97,7
2023-02-20,Beaumont Hospital,90,0,90,7
2023-02-20,CHI at Crumlin,56,0,56,7
2023-02-20,CHI at Tallaght,29,0,29,7
2023-02-20,CHI at Temple Street,41,5,46,7
2023-02-20,Cavan General Hospital,44,0,44,7
2023-02-20,Connolly Hospital,0,0,0,7
2023-02-20,Cork University Hospital,182,82,264,7
2023-02-20,Galway University Hospital,188,70,258,7
2023-02-20,Letterkenny University Hospital,85,17,102,7
2023-02-20,MRH Mullingar,47,0,47,7
2023-02-20,MRH Portlaoise,24,0,24,7
2023-02-20,MRH Tullamore,0,0,0,7
2023-02-20,Mater Misericordiae University Hospital,177,0,177,7
2023-02-20,Mayo University Hospital,75,44,119,7
2023-02-20,Mercy University Hospital,59,0,59,7
2023-02-20,Naas General Hospital,90,26,116,7
2023-02-20,Our Lady of Lourdes Hospital,77,5,82,7
2023-02-20,Our Lady's Hospital Navan,18,0,18,7
2023-02-20,Portiuncula University Hospital,28,0,28,7
2023-02-20,Sligo University Hospital,55,44,99,7
2023-02-20,St Luke's General Hospital Kilkenny,39,7,46,7
2023-02-20,St. James's Hospital,172,0,172,7
2023-02-20,St. Vincent's University Hospital,173,0,173,7
2023-02-20,Tallaght University Hospital,175,0,175,7
2023-02-20,Tipperary University Hospital,55,0,55,7
2023-02-20,UH Kerry,111,0,111,7
2023-02-20,UH Limerick,153,170,323,7
2023-02-20,UH Waterford,0,0,0,7
2023-02-20,Wexford General Hospital,48,28,76,7
2023-02-27,Beaumont Hospital,14,0,14,7
2023-02-27,CHI at Crumlin,46,0,46,7
2023-02-27,CHI at Tallaght,14,0,14,7
2023-02-27,CHI at Temple Street,30,0,30,7
2023-02-27,Cavan General Hospital,28,0,28,7
2023-02-27,Connolly Hospital,5,0,5,7
2023-02-27,Cork University Hospital,156,65,221,7
2023-02-27,Galway University Hospital,132,49,181,7
2023-02-27,Letterkenny University Hospital,23,23,46,7
2023-02-27,MRH Mullingar,36,0,36,7
2023-02-27,MRH Portlaoise,37,0,37,7
2023-02-27,MRH Tullamore,4,0,4,7
2023-02-27,Mater Misericordiae University Hospital,211,0,211,7
2023-02-27,Mayo University Hospital,64,64,128,7
2023-02-27,Mercy University Hospital,42,0,42,7
2023-02-27,Naas General Hospital,108,22,130,7
2023-02-27,Our Lady of Lourdes Hospital,20,5,25,7
2023-02-27,Our Lady's Hospital Navan,12,0,12,7
2023-02-27,Portiuncula University Hospital,20,9,15,7
2023-02-27,Sligo University Hospital,48,69,117,7
2023-02-27,St Luke's General Hospital Kilkenny,92,18,110,7
2023-02-27,St. James's Hospital,104,0,104,7
2023-02-27,St. Vincent's University Hospital,173,0,173,7
2023-02-27,Tallaght University Hospital,200,0,200,7
2023-02-27,Tipperary University Hospital,102,0,102,7
2023-02-27,UH Kerry,108,0,108,7
2023-02-27,UH Limerick,134,179,313,7
2023-02-27,UH Waterford,0,0,0,7
