week_start,region,ed_trolleys,ward_trolleys,total_trolleys,days_in_week
2022-12-26,HSE Dublin and Midlands,97,0,97,1
2022-12-26,HSE Dublin and North East,79,2,81,1
2022-12-26,HSE Dublin and South East,63,1,64,1
2022-12-26,HSE Mid West,36,12,48,1
2022-12-26,HSE South West,79,0,79,1
2022-12-26,HSE West and North West,90,7,97,1
2023-01-02,HSE Dublin and Midlands,720,19,739,7
2023-01-02,HSE Dublin and North East,580,40,588,7
2023-01-02,HSE Dublin and South East,531,53,584,7
2023-01-02,HSE Mid West,156,130,286,7
2023-01-02,HSE South West,511,18,529,7
2023-01-02,HSE West and North West,551,291,800,7
2023-01-09,HSE Dublin and Midlands,572,23,595,7
2023-01-09,HSE Dublin and North East,374,16,390,7
2023-01-09,HSE Dublin and South East,395,44,439,7
2023-01-09,HSE Mid West,46,110,156,7
2023-01-09,HSE South West,350,19,369,7
2023-01-09,HSE West and North West,318,164,456,7
2023-01-16,HSE Dublin and Midlands,550,20,570,7
2023-01-16,HSE Dublin and North East,281,13,288,7
2023-01-16,HSE Dublin and South East,292,58,350,7
2023-01-16,HSE Mid West,55,135,190,7
2023-01-16,HSE South West,326,46,372,7
2023-01-16,HSE West and North West,407,196,603,7
2023-01-23,HSE Dublin and Midlands,436,19,455,7
2023-01-23,HSE Dublin and North East,235,7,240,7
2023-01-23,HSE Dublin and South East,331,32,363,7
2023-01-23,HSE Mid West,52,110,162,7
2023-01-23,HSE South West,396,42,438,7
2023-01-23,HSE West and North West,327,166,493,7
2023-01-30,HSE Dublin and Midlands,469,15,484,7
2023-01-30,HSE Dublin and North East,200,5,205,7
2023-01-30,HSE Dublin and South East,260,54,314,7
2023-01-30,HSE Mid West,57,163,220,7
2023-01-30,HSE South West,368,15,383,7
2023-01-30,HSE West and North West,307,155,462,7
2023-02-06,HSE Dublin and Midlands,549,19,566,7
2023-02-06,HSE Dublin and North East,204,5,209,7
2023-02-06,HSE Dublin and South East,346,74,420,7
2023-02-06,HSE Mid West,96,170,266,7
2023-02-06,HSE South West,267,15,282,7
2023-02-06,HSE West and North West,276,157,433,7
2023-02-13,HSE Dublin and Midlands,586,21,607,7
2023-02-13,HSE Dublin and North East,405,8,413,7
2023-02-13,HSE Dublin and South East,345,62,405,7
2023-02-13,HSE Mid West,139,162,301,7
2023-02-13,HSE South West,391,46,437,7
2023-02-13,HSE West and North West,399,193,592,7
2023-02-20,HSE Dublin and Midlands,634,31,665,7
2023-02-20,HSE Dublin and North East,406,5,411,7
2023-02-20,HSE Dublin and South East,315,35,350,7
2023-02-20,HSE Mid West,153,170,323,7
2023-02-20,HSE South West,352,82,434,7
2023-02-20,HSE West and North West,431,175,606,7
2023-02-27,HSE Dublin and Midlands,579,22,601,7
2023-02-27,HSE Dublin and North East,290,5,295,7
2023-02-27,HSE Dublin and South East,388,25,413,7
2023-02-27,HSE Mid West,134,179,313,7
