"Statistic Label","Year","HSE Regions","Sex","Age Group","UNIT","VALUE"
"Percentage of Individuals","2022","Dublin and North East","Male","All ages","%","100"
"Percentage of Individuals","2022","Dublin and North East","Male","0 - 4 years","%","6.2"
"Percentage of Individuals","2022","Dublin and North East","Male","5 - 9 years","%","7"
"Percentage of Individuals","2022","Dublin and North East","Male","10 - 14 years","%","7.7"
"Percentage of Individuals","2022","Dublin and North East","Male","15 - 19 years","%","6.7"
"Percentage of Individuals","2022","Dublin and North East","Male","20 - 24 years","%","6.4"
"Percentage of Individuals","2022","Dublin and North East","Male","25 - 29 years","%","6.4"
"Percentage of Individuals","2022","Dublin and North East","Male","30 - 34 years","%","7"
"Percentage of Individuals","2022","Dublin and North East","Male","35 - 39 years","%","7.8"
"Percentage of Individuals","2022","Dublin and North East","Male","40 - 44 years","%","8.2"
"Percentage of Individuals","2022","Dublin and North East","Male","45 - 49 years","%","7.4"
"Percentage of Individuals","2022","Dublin and North East","Male","50 - 54 years","%","6.6"
"Percentage of Individuals","2022","Dublin and North East","Male","55 - 59 years","%","5.6"
"Percentage of Individuals","2022","Dublin and North East","Male","60 - 64 years","%","4.7"
"Percentage of Individuals","2022","Dublin and North East","Male","65 - 69 years","%","3.9"
"Percentage of Individuals","2022","Dublin and North East","Male","70 - 74 years","%","3.3"
"Percentage of Individuals","2022","Dublin and North East","Male","75 - 79 years","%","2.5"
"Percentage of Individuals","2022","Dublin and North East","Male","80 - 84 years","%","1.5"
"Percentage of Individuals","2022","Dublin and North East","Male","85 years and over","%","1.1"
"Percentage of Individuals","2022","Dublin and North East","Female","All ages","%","100"
"Percentage of Individuals","2022","Dublin and North East","Female","0 - 4 years","%","5.5"
"Percentage of Individuals","2022","Dublin and North East","Female","5 - 9 years","%","6.4"
"Percentage of Individuals","2022","Dublin and North East","Female","10 - 14 years","%","7"
"Percentage of Individuals","2022","Dublin and North East","Female","15 - 19 years","%","6.3"
"Percentage of Individuals","2022","Dublin and North East","Female","20 - 24 years","%","5.8"
"Percentage of Individuals","2022","Dublin and North East","Female","25 - 29 years","%","5.7"
"Percentage of Individuals","2022","Dublin and North East","Female","30 - 34 years","%","6.6"
"Percentage of Individuals","2022","Dublin and North East","Female","35 - 39 years","%","7.7"
"Percentage of Individuals","2022","Dublin and North East","Female","40 - 44 years","%","8.1"
"Percentage of Individuals","2022","Dublin and North East","Female","45 - 49 years","%","7.2"
"Percentage of Individuals","2022","Dublin and North East","Female","50 - 54 years","%","6.5"
"Percentage of Individuals","2022","Dublin and North East","Female","55 - 59 years","%","6"
"Percentage of Individuals","2022","Dublin and North East","Female","60 - 64 years","%","5.3"
"Percentage of Individuals","2022","Dublin and North East","Female","65 - 69 years","%","4.6"
