region,hospital,tx_inpatient,tx_day,closures_inpatient,closures_day
Dublin and Midlands,Children's Health Ireland,361,97,2,
Dublin and Midlands,Coombe Women and Infants University Hospital,189,30,,
Dublin and Midlands,HSE Surgical Hub South Dublin,,29,,
Dublin and Midlands,MRH Mullingar,203,33,,
Dublin and Midlands,MRH Portlaoise,139,19,,
Dublin and Midlands,MRH Tullamore,233,80,,
Dublin and Midlands,Naas General Hospital,202,22,1,
Dublin and Midlands,St. James's Hospital,735,125,8,3
Dublin and Midlands,St. Luke's Radiation Oncology Network,56,16,19,
Dublin and Midlands,Tallaght University Hospital,472,124,5,
Dublin and North East,Beaumont Hospital,726,168,3,
Dublin and North East,Cavan General Hospital,242,49,,
Dublin and North East,Connolly Hospital,364,55,,
Dublin and North East,Louth County Hospital,1,32,,
Dublin and North East,Mater Misericordiae University Hospital,671,225,2,
Dublin and North East,Monaghan Hospital,,20,,
Dublin and North East,National Orthopaedic Hospital Cappagh,95,35,,
Dublin and North East,Our Lady of Lourdes Hospital,458,45,2,
Dublin and North East,Our Lady's Hospital Navan,102,15,6,
Dublin and North East,Rotunda Hospital,168,15,,
Dublin and South East,Kilcreene Regional Orthopaedic Hospital,20,11,,
Dublin and South East,National Maternity Hospital,152,17,,
Dublin and South East,National Rehabilitation Hospital,120,9,,
Dublin and South East,Royal Victoria Eye and Ear Hospital,25,27,,
Dublin and South East,St. Columcille's Hospital,115,7,,
Dublin and South East,St. Luke's General Hospital Kilkenny,260,25,1,
Dublin and South East,St. Michael's Hospital,96,20,,
Dublin and South East,St. Vincent's University Hospital,546,138,,
Dublin and South East,Tipperary University Hospital,250,22,,1
Dublin and South East,UH Waterford,472,118,,
Dublin and South East,Wexford General Hospital,222,53,7,
Mid West,Croom Orthopaedic Hospital,44,33,,
Mid West,Ennis Hospital,50,19,,
Mid West,Nenagh Hospital,52,24,,
Mid West,St. John's Hospital Limerick,89,10,,
Mid West,UH Limerick,554,135,1,
Mid West,UMH Limerick,102,,9,
South West,Bantry General Hospital,47,14,,
South West,Cork University Hospital,668,134,1,
South West,Cork University Maternity Hospital,193,7,13,
South West,Mallow General Hospital,71,20,,
South West,Mercy University Hospital,200,74,,
South West,South Infirmary Victoria University Hospital,121,89,,
South West,UH Kerry,283,60,3,
West and North West,Galway University Hospitals,665,142,5,
West and North West,Letterkenny University Hospital,378,71,1,
West and North West,Mayo University Hospital,272,57,,
West and North West,Portiuncula University Hospital,195,27,,
West and North West,Roscommon University Hospital,66,32,,1
West and North West,Sligo University Hospital,318,72,2,
