"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2022","Both sexes","All ages","State","Number","5149139"
"Population","2022","Both sexes","Under 1 year","State","Number","57796"
"Population","2022","Both sexes","1 year","State","Number","56420"
"Population","2022","Both sexes","2 years","State","Number","59210"
"Population","2022","Both sexes","3 years","State","Number","60484"
"Population","2022","Both sexes","4 years","State","Number","61505"
"Population","2022","Both sexes","5 years","State","Number","64026"
"Population","2022","Both sexes","6 years","State","Number","66714"
"Population","2022","Both sexes","7 years","State","Number","69001"
"Population","2022","Both sexes","8 years","State","Number","70733"
"Population","2022","Both sexes","9 years","State","Number","72196"
"Population","2022","Both sexes","10 years","State","Number","74101"
"Population","2022","Both sexes","11 years","State","Number","75159"
"Population","2022","Both sexes","12 years","State","Number","76254"
"Population","2022","Both sexes","13 years","State","Number","75256"
"Population","2022","Both sexes","14 years","State","Number","73432"
"Population","2022","Both sexes","15 years","State","Number","70440"
"Population","2022","Both sexes","16 years","State","Number","67814"
"Population","2022","Both sexes","17 years","State","Number","68026"
"Population","2022","Both sexes","18 years","State","Number","66752"
"Population","2022","Both sexes","19 years","State","Number","64596"
"Population","2022","Both sexes","20 years","State","Number","63744"
"Population","2022","Both sexes","21 years","State","Number","60661"
"Population","2022","Both sexes","22 years","State","Number","62218"
"Population","2022","Both sexes","23 years","State","Number","60922"
"Population","2022","Both sexes","24 years","State","Number","59598"
"Population","2022","Both sexes","25 years","State","Number","59263"
"Population","2022","Both sexes","26 years","State","Number","58240"
"Population","2022","Both sexes","27 years","State","Number","58690"
"Population","2022","Both sexes","28 years","State","Number","58690"
"Population","2022","Both sexes","29 years","State","Number","60925"
"Population","2022","Both sexes","30 years","State","Number","63699"
"Population","2022","Both sexes","31 years","State","Number","65947"
"Population","2022","Both sexes","32 years","State","Number","66795"
"Population","2022","Both sexes","33 years","State","Number","66377"
"Population","2022","Both sexes","34 years","State","Number","69405"
"Population","2022","Both sexes","35 years","State","Number","72635"
"Population","2022","Both sexes","36 years","State","Number","74858"
"Population","2022","Both sexes","37 years","State","Number","75620"
"Population","2022","Both sexes","38 years","State","Number","78415"
"Population","2022","Both sexes","39 years","State","Number","81341"
"Population","2022","Both sexes","40 years","State","Number","83444"
"Population","2022","Both sexes","41 years","State","Number","85097"
"Population","2022","Both sexes","42 years","State","Number","84981"
"Population","2022","Both sexes","43 years","State","Number","80683"
"Population","2022","Both sexes","44 years","State","Number","77319"
"Population","2022","Both sexes","45 years","State","Number","76216"
"Population","2022","Both sexes","46 years","State","Number","75416"
"Population","2022","Both sexes","47 years","State","Number","74524"
"Population","2022","Both sexes","48 years","State","Number","73617"
"Population","2022","Both sexes","49 years","State","Number","73731"
"Population","2022","Both sexes","50 years","State","Number","72249"
"Population","2022","Both sexes","51 years","State","Number","69951"
"Population","2022","Both sexes","52 years","State","Number","68770"
"Population","2022","Both sexes","53 years","State","Number","64815"
"Population","2022","Both sexes","54 years","State","Number","64218"
"Population","2022","Both sexes","55 years","State","Number","62916"
"Population","2022","Both sexes","56 years","State","Number","61963"
"Population","2022","Both sexes","57 years","State","Number","62655"
"Population","2022","Both sexes","58 years","State","Number","60435"
"Population","2022","Both sexes","59 years","State","Number","59196"
"Population","2022","Both sexes","60 years","State","Number","57518"
"Population","2022","Both sexes","61 years","State","Number","56705"
"Population","2022","Both sexes","62 years","State","Number","55015"
"Population","2022","Both sexes","63 years","State","Number","52196"
"Population","2022","Both sexes","64 years","State","Number","51236"
"Population","2022","Both sexes","65 years","State","Number","50083"
"Population","2022","Both sexes","66 years","State","Number","48421"
"Population","2022","Both sexes","67 years","State","Number","48151"
"Population","2022","Both sexes","68 years","State","Number","45520"
"Population","2022","Both sexes","69 years","State","Number","45969"
"Population","2022","Both sexes","70 years","State","Number","43150"
"Population","2022","Both sexes","71 years","State","Number","41685"
"Population","2022","Both sexes","72 years","State","Number","41124"
"Population","2022","Both sexes","73 years","State","Number","39255"
"Population","2022","Both sexes","74 years","State","Number","37670"
"Population","2022","Both sexes","75 years","State","Number","35767"
"Population","2022","Both sexes","76 years","State","Number","33759"
"Population","2022","Both sexes","77 years","State","Number","30572"
"Population","2022","Both sexes","78 years","State","Number","28058"
"Population","2022","Both sexes","79 years","State","Number","26104"
"Population","2022","Both sexes","80 years","State","Number","22847"
"Population","2022","Both sexes","81 years","State","Number","20661"
"Population","2022","Both sexes","82 years","State","Number","19538"
"Population","2022","Both sexes","83 years","State","Number","17885"
"Population","2022","Both sexes","84 years","State","Number","15655"
"Population","2022","Both sexes","85 years","State","Number","14457"
"Population","2022","Both sexes","86 years","State","Number","12871"
"Population","2022","Both sexes","87 years","State","Number","11281"
"Population","2022","Both sexes","88 years","State","Number","9698"
"Population","2022","Both sexes","89 years","State","Number","7997"
"Population","2022","Both sexes","90 years","State","Number","6729"
"Population","2022","Both sexes","91 years","State","Number","5731"
"Population","2022","Both sexes","92 years","State","Number","4106"
"Population","2022","Both sexes","93 years","State","Number","3257"
"Population","2022","Both sexes","94 years","State","Number","2455"
"Population","2022","Both sexes","95 years","State","Number","1826"
"Population","2022","Both sexes","96 years","State","Number","1283"
"Population","2022","Both sexes","97 years","State","Number","949"
"Population","2022","Both sexes","98 years","State","Number","622"
"Population","2022","Both sexes","99 years","State","Number","441"
"Population","2022","Both sexes","100 years and over","State","Number","738"
