week,floor,ceiling,extract_date,weekly_cases,total_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,Total_0_14,Total_15_24,Total_25_44,Total_45_64,Total_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total,disease,ObjectId
2018 W13,2018/03/25 00:00:00+00,2018/03/31 00:00:00+00,2026/05/10 00:00:00+00,285,11000,92,13,51,40,89,2416,591,1782,2039,4164,6.92,2.27,3.47,4.43,12.88,5.66,Influenza,1
2018 W13,2018/03/25 00:00:00+00,2018/03/31 00:00:00+00,2026/05/10 00:00:00+00,24,3006,18,0,0,0,6,2245,19,85,179,476,1.19,0,0.02,0.08,0.69,0.36,RSV,2
2018 W14,2018/04/01 00:00:00+00,2018/04/07 00:00:00+00,2026/05/10 00:00:00+00,276,11276,49,14,37,58,117,2465,605,1819,2097,4281,5.8,1.91,2.81,3.79,12.54,5,Influenza,3
2018 W14,2018/04/01 00:00:00+00,2018/04/07 00:00:00+00,2026/05/10 00:00:00+00,12,3018,10,0,0,0,2,2255,19,85,179,478,1.35,0.05,0,0,0.82,0.39,RSV,4
2018 W15,2018/04/08 00:00:00+00,2018/04/14 00:00:00+00,2026/05/10 00:00:00+00,212,11488,35,10,32,49,86,2500,615,1851,2146,4367,3.62,1.4,2.13,3.53,11.98,4.18,Influenza,5
2018 W15,2018/04/08 00:00:00+00,2018/04/14 00:00:00+00,2026/05/10 00:00:00+00,25,3043,13,1,0,0,11,2268,20,85,179,489,1.09,0.1,0,0.03,0.69,0.34,RSV,6
2018 W16,2018/04/15 00:00:00+00,2018/04/21 00:00:00+00,2026/05/10 00:00:00+00,157,11645,26,3,22,30,76,2526,618,1873,2176,4443,2.21,0.83,1.64,2.32,7.6,2.72,Influenza,7
2018 W16,2018/04/15 00:00:00+00,2018/04/21 00:00:00+00,2026/05/10 00:00:00+00,15,3058,10,1,0,1,3,2278,21,85,180,492,0.82,0.1,0,0.03,0.64,0.28,RSV,8
2018 W17,2018/04/22 00:00:00+00,2018/04/28 00:00:00+00,2026/05/10 00:00:00+00,51,11696,6,3,16,11,15,2532,621,1889,2187,4458,1.51,0.47,1.01,1.42,4.77,1.71,Influenza,9
2018 W17,2018/04/22 00:00:00+00,2018/04/28 00:00:00+00,2026/05/10 00:00:00+00,3,3061,2,0,0,0,1,2280,21,85,180,493,0.66,0.1,0,0.03,0.17,0.17,RSV,10
2018 W18,2018/04/29 00:00:00+00,2018/05/05 00:00:00+00,2026/05/10 00:00:00+00,56,11752,14,3,5,14,20,2546,624,1894,2201,4478,0.95,0.47,0.7,0.67,1.63,0.85,Influenza,11
2018 W18,2018/04/29 00:00:00+00,2018/05/05 00:00:00+00,2026/05/10 00:00:00+00,9,3070,8,1,0,0,0,2288,22,85,180,493,0.56,0.05,0.02,0,0.04,0.13,RSV,12
2018 W19,2018/05/06 00:00:00+00,2018/05/12 00:00:00+00,2026/05/10 00:00:00+00,25,11777,9,3,9,1,3,2555,627,1903,2202,4481,1.32,0.41,0.35,0.62,1.55,0.8,Influenza,13
2018 W19,2018/05/06 00:00:00+00,2018/05/12 00:00:00+00,2026/05/10 00:00:00+00,8,3078,7,0,1,0,0,2295,22,86,180,493,0.72,0.05,0.02,0,0.04,0.16,RSV,14
2018 W20,2018/05/13 00:00:00+00,2018/05/19 00:00:00+00,2026/05/10 00:00:00+00,42,11819,17,2,1,9,13,2572,629,1904,2211,4494,1.02,0.31,0.26,0.26,0.77,0.49,Influenza,15
2018 W20,2018/05/13 00:00:00+00,2018/05/19 00:00:00+00,2026/05/10 00:00:00+00,8,3086,7,0,0,0,1,2302,22,86,180,494,0.63,0,0.02,0,0.04,0.14,RSV,16
2018 W21,2018/05/20 00:00:00+00,2018/05/26 00:00:00+00,2026/05/10 00:00:00+00,9,11828,5,1,1,0,2,2577,630,1905,2211,4496,0.86,0.16,0.07,0.28,0.77,0.39,Influenza,17
2018 W21,2018/05/20 00:00:00+00,2018/05/26 00:00:00+00,2026/05/10 00:00:00+00,5,3091,5,0,0,0,0,2307,22,86,180,494,0.56,0,0,0.03,0.04,0.12,RSV,18
2018 W22,2018/05/27 00:00:00+00,2018/06/02 00:00:00+00,2026/05/10 00:00:00+00,10,11838,4,0,1,2,3,2581,630,1906,2213,4499,0.3,0.05,0.05,0.05,0.3,0.14,Influenza,19
2018 W22,2018/05/27 00:00:00+00,2018/06/02 00:00:00+00,2026/05/10 00:00:00+00,6,3097,5,0,0,1,0,2312,22,86,181,494,0.4,0,0,0.03,0.09,0.1,RSV,20
2018 W23,2018/06/03 00:00:00+00,2018/06/09 00:00:00+00,2026/05/10 00:00:00+00,2,11840,0,0,0,0,2,2581,630,1906,2213,4501,0.13,0,0.05,0.05,0.3,0.1,Influenza,21
2018 W23,2018/06/03 00:00:00+00,2018/06/09 00:00:00+00,2026/05/10 00:00:00+00,4,3101,2,0,0,0,2,2314,22,86,181,496,0.33,0,0,0.03,0.09,0.08,RSV,22
2018 W24,2018/06/10 00:00:00+00,2018/06/16 00:00:00+00,2026/05/10 00:00:00+00,3,11843,0,0,1,0,2,2581,630,1907,2213,4503,0,0,0.02,0,0.17,0.03,Influenza,23
2018 W24,2018/06/10 00:00:00+00,2018/06/16 00:00:00+00,2026/05/10 00:00:00+00,3,3104,3,0,0,0,0,2317,22,86,181,496,0.3,0,0,0,0.09,0.07,RSV,24
2018 W25,2018/06/17 00:00:00+00,2018/06/23 00:00:00+00,2026/05/10 00:00:00+00,0,11843,0,0,0,0,0,2581,630,1907,2213,4503,0,0,0.02,0.03,0.09,0.03,Influenza,25
2018 W25,2018/06/17 00:00:00+00,2018/06/23 00:00:00+00,2026/05/10 00:00:00+00,4,3108,4,0,0,0,0,2321,22,86,181,496,0.26,0,0,0,0,0.05,RSV,26
2018 W26,2018/06/24 00:00:00+00,2018/06/30 00:00:00+00,2026/05/10 00:00:00+00,1,11844,0,0,0,1,0,2581,630,1907,2214,4503,0,0,0.02,0.03,0.04,0.02,Influenza,27
2018 W26,2018/06/24 00:00:00+00,2018/06/30 00:00:00+00,2026/05/10 00:00:00+00,1,3109,1,0,0,0,0,2322,22,86,181,496,0.2,0,0,0,0,0.04,RSV,28
2018 W27,2018/07/01 00:00:00+00,2018/07/07 00:00:00+00,2026/05/10 00:00:00+00,2,11846,0,0,1,0,1,2581,630,1908,2214,4504,0,0,0.02,0.03,0.09,0.03,Influenza,29
