HospitalGroup,Hospital,Region,Year,Quarter,Cancellations
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,1,233
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,1,233
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,2,1069
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,2,1069
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,3,11666
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,3,11666
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,4,12296
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2022,4,12296
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,1,11845
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,1,11845
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,2,11549
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,2,11549
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,3,11209
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,3,11209
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,4,10472
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2023,4,10472
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,1,11775
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,1,11775
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,2,10735
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,2,10735
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,3,10409
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,3,10409
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,4,10375
Children's Health Ireland,Children's Health Ireland,Dublin and Midlands,2024,4,10375
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2022,1,0
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2022,2,881
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2022,3,280
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2022,4,341
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2023,1,289
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2023,2,313
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2023,3,318
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2023,4,207
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2024,1,206
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2024,2,359
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2024,3,315
Dublin Midlands Hospital Group,Coombe Women and Infants University Hospital,Dublin and Midlands,2024,4,392
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2022,1,229
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2022,2,385
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2022,3,130
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2022,4,289
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2023,1,279
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2023,2,110
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2023,3,83
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2023,4,140
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2024,1,397
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2024,2,225
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2024,3,73
Dublin Midlands Hospital Group,MRH Portlaoise,Dublin and Midlands,2024,4,119
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2022,1,1056
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2022,2,674
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2022,3,1034
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2022,4,692
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2023,1,865
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2023,2,1071
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2023,3,766
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2023,4,803
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2024,1,820
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2024,2,865
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2024,3,579
Dublin Midlands Hospital Group,MRH Tullamore,Dublin and Midlands,2024,4,413
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2022,1,742
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2022,2,1243
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2022,3,1153
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2022,4,1193
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2023,1,2722
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2023,2,1662
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2023,3,1814
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2023,4,2323
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2024,1,2584
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2024,2,2154
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2024,3,1500
Dublin Midlands Hospital Group,Naas General Hospital,Dublin and Midlands,2024,4,1304
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2022,1,2648
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2022,2,4340
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2022,3,3949
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2022,4,4138
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2023,1,5170
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2023,2,4923
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2023,3,4787
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2023,4,4730
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2024,1,4436
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2024,2,4372
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2024,3,5069
Dublin Midlands Hospital Group,St. James's Hospital,Dublin and Midlands,2024,4,5200
